"Gene.ID","DTL24h_WT_1","DTL24h_WT_2","DTL24h_WT_3","DTL24h_u5_1","DTL24h_u5_2","DTL24h_u5_3"
"AT1G01010",8.59178566073099,8.47679162236908,8.27438809135601,8.43379339208353,8.5304296752148,8.27629714820703
"AT1G01020",8.31402411293974,8.3640449667366,8.31756120737342,8.22268596358816,8.11906757096906,8.28646440756923
"AT1G03987",4.59795673335094,4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919
"AT1G01030",5.95103747111151,5.83295556988273,5.43395176860477,5.78915416614871,5.85980968677067,5.69143516430346
"AT1G01040",10.2684751947533,10.2489160272553,9.76621045163291,10.2651226347294,10.2727742849195,10.1538153726025
"AT1G03993",7.43969656631138,7.53083973808032,6.14811193933359,7.50212683656356,7.47121708547524,7.50367064196566
"AT1G01050",9.58779449336121,9.84359355214589,9.86142810911342,9.92615984542211,9.79470924524596,9.82911672003876
"AT1G03997",4.10740755499919,4.4587716313319,4.46122646472449,4.10740755499919,4.10740755499919,4.10740755499919
"AT1G01060",12.576708424524,12.5320601943688,12.3929920207944,12.6668903530527,12.492282153345,12.5619721576599
"AT1G01070",7.29769621210016,7.25494134445189,7.02383560486402,7.12219033658618,7.09303625719859,6.96577446677365
"AT1G01080",9.74327725484496,10.0770168137783,10.129162775273,10.2854579702844,9.94708980579447,10.2733249607157
"AT1G01090",11.6948408501231,11.7841110406903,11.7540629955008,11.903032395518,11.6875772453399,11.8162740042953
"AT1G01100",11.417114249755,11.4284136399507,11.65592289974,11.3379592726999,11.3262984585867,11.4772319774719
"AT1G01110",5.87225513609898,6.34266073515378,5.78484152204178,6.0442341716918,6.27488093489488,6.16736851946146
"AT1G01120",11.8209519125159,11.9532700626018,11.9657887287155,11.8274821532186,11.9270632352335,11.9208324690031
"AT1G01130",5.81674423808542,6.30383918888483,6.00521494273918,5.82028643680411,5.80041945657576,5.9383982002873
"AT1G01140",10.1172252647065,10.1309039160855,10.3070306654808,10.3423737630644,10.2388847265781,10.1825998224561
"AT1G01150",4.10740755499919,4.10740755499919,4.10740755499919,4.46951064907295,4.10740755499919,4.73175964811187
"AT1G01160",9.73136918774619,9.69407886185497,9.81042450710893,9.7342044805006,9.72568188099566,9.76529610625139
"AT1G04007",8.74536603324173,8.62712217075593,8.59200160046449,8.52660133877856,8.59944463575171,8.61950812623123
"AT1G01170",9.24896882011383,9.15032784561638,9.44010885933374,9.36280622434629,9.32725921547103,9.39302028510738
"AT1G04013",8.7521250933757,8.6346148947561,8.82233425824011,8.8644740693903,8.78510843873605,8.86620893813411
"AT1G01180",9.62688882629171,9.54918322556322,9.45946638165343,9.62869989138299,9.61844973344795,9.50365831730852
"AT1G01190",5.81674423808542,5.96823841117194,5.78484152204178,6.45701162366636,6.35573159270531,6.25727792399666
"AT1G01200",5.97621541216713,5.64738328035781,5.43395176860477,5.82028643680411,5.44674598498862,5.69143516430346
"AT1G01210",7.86042008067747,7.64722044500489,7.92290208671113,7.42094979518496,7.64361867764163,7.73756313410337
"AT1G04017",5.75852996472404,5.68044035121969,5.75423004252509,5.85062945139931,5.76957827698219,5.79013461202353
"AT1G01220",9.20534149748536,9.20414181075591,9.04666485411644,9.20352570942423,9.14668227938034,9.18373895285253
"AT1G04023",6.20363772102799,6.30383918888483,5.62303671292291,6.27762639431145,6.07215472288367,5.79013461202353
"AT1G01225",6.11748844132806,6.17993281785296,6.05466375904445,6.3401682669353,6.35573159270531,6.30000391552852
"AT1G01230",8.80832963093897,8.76320638124184,8.76119377475517,8.91107761972251,8.84314197543149,8.57462895161646
"AT1G01240",8.57281379337991,8.44729727444873,8.46559744702122,8.72607525734029,8.66907760113365,8.73151783051807
"AT1G01250",5.32742212268146,5.42529779963574,5.69049846882413,5.32830548370172,5.80041945657576,5.37599931860384
"AT1G01260",8.18487974866845,8.18658740604871,7.89777999216268,8.23322562888494,8.1355925252732,8.09140906367708
"AT1G01280",4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919
"AT1G01290",8.00937628617319,7.90540619691368,7.89142979121183,8.10706916557904,7.96107036313347,8.11444077399697
"AT1G01300",9.97300132396098,9.84359355214589,10.0702448038349,9.80107003248417,9.87862985956688,9.70420309962821
"AT1G01310",5.23451405978917,4.60309856812962,4.96363522637781,4.90887564065103,4.72342960448955,4.90938172491352
"AT1G01320",12.8352939248228,12.9805887834723,12.7013298284086,13.057043515525,13.003362653179,12.9614453249696
"AT1G01340",7.22094385876706,7.18439011688617,6.95143874706826,7.14496333943835,7.27486438901774,7.08876821873906
"AT1G01350",8.6253163183871,8.49337746222369,8.61138681905824,8.7186058041555,8.57546315125122,8.60740669438774
"AT1G01355",4.87759708108146,4.95783278903536,4.89089150819196,5.22716673036356,4.72342960448955,4.10740755499919
"AT1G01360",8.47400373703595,8.37751540051191,8.39572650238359,8.49194945312216,8.47532149337723,8.44911694844075
"AT1G01370",6.07213357144098,6.47021027007632,6.31682297038338,5.90912238942366,6.2538637866307,6.01944283672639
"AT1G01380",5.72830934580846,5.293860780042,5.75423004252509,5.75718337103037,5.70536028799676,5.75814872985097
"AT1G01390",5.66540503649067,5.77429650353826,5.7228000819123,6.51180350309875,6.37519179474529,6.42043653719593
"AT1G01400",4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919
"AT1G01420",8.15963230939816,7.93005136872304,7.98383978149815,7.89748406477993,7.7550946392201,7.79584883418729
"AT1G01430",11.0179159406254,11.0008265978401,11.0457866714894,11.2700732797856,10.9899814867612,11.1001005415692
