Gene.ID,FPKM.WT_D,FPKM.WT_DTL6h,FPKM.WT_WL
AT1G55520,9.299943804,7.9683302,7.495785251
AT1G55525,0,0,0
AT1G55530,27.49826977,18.86348315,5.347746522
AT1G55535,3.616674689,4.755657677,4.095522818
AT1G55540,3.626223792,4.235068518,4.77037404
AT1G55546,0,0.027718798,0
AT1G55550,0.036653176,0.164310324,0.677174609
AT1G55560,0,0,0
AT1G55570,0,0,0
AT1G55580,1.573859002,1.341589828,0.359548757
AT1G55590,24.29204928,18.61481726,4.840665383
AT1G55600,0.006420156,0,0
AT1G55604,0,0,0
AT1G55610,3.376844779,3.953979166,1.395724889
AT1G55620,10.75358449,8.19579123,3.52138039
AT1G55625,0,0.133861513,0
AT1G55630,1.388415537,1.50527168,0.900043824
AT1G55640,0.317251467,0.230279246,0.127650446
AT1G55650,0.008328543,0.038958808,0.012147747
AT1G55660,0,0,0
AT1G55670,157.9059008,115.5221423,480.3087382
AT1G55673,0,0,0
AT1G55675,7.055104814,6.112813809,2.306716186
AT1G55680,49.9244077,29.35692251,11.05019764
AT1G55690,4.045504543,3.746051481,7.476408035
AT1G55700,0.155674681,0.128507052,0.140244252
AT1G55710,0,0,0
AT1G55720,0.019366439,0.007549274,0
AT1G55730,12.4892411,11.93437354,5.249245607
AT1G55740,3.595589923,4.684273302,1.412974976
AT1G55750,1.855274645,1.814321331,2.220465005
AT1G55755,0.070046773,0.163830508,0
AT1G55760,2.93913428,3.775916275,2.035906422
AT1G55770,0,0.015954424,0
AT1G55775,0.950508105,0.339642995,0.019255289
AT1G55790,0,0.015330508,0
AT1G55800,0.07248083,0.042380865,0.145362562
AT1G55803,0.723788072,0.953906643,0.385412164
AT1G55805,4.617957714,5.438085668,12.96995718
AT1G55810,18.17960042,12.59893709,5.852597989
AT1G55820,4.241235027,3.80496163,1.742662426
AT1G55830,2.4158946,2.830731941,2.049806007
AT1G55840,10.82175202,8.399734386,17.22902826
AT1G55850,14.7148918,11.38666655,25.42599452
AT1G55860,21.71994161,33.60273767,21.33289801
AT1G55865,0.072202058,0.140726206,0.368590663
AT1G55870,1.661043323,2.111047448,3.258691861
AT1G55880,3.612290841,3.453762244,2.053576553
AT1G55890,4.596740778,4.008800042,9.525361503
AT1G55900,3.981033425,6.812863303,9.421426478
AT1G55910,1.503657538,8.466811536,16.06726797
AT1G55915,0.545192826,0.999174361,0.551893135
AT1G55917,2.270871179,1.829440675,0.220814683
AT1G55920,16.59751033,13.09627187,11.94379007
AT1G55928,0,0,0
AT1G55930,1.498429718,1.570259377,1.296198976
AT1G55940,0.125368266,0.242225595,0.381617013
AT1G55945,0,0,0
AT1G55947,0,0,0
AT1G55950,0,0.066204126,0.016514488
AT1G55960,4.445610788,29.45638317,33.92243949
AT1G55964,0,0,0
AT1G55970,1.103290838,1.571556638,1.887511812
AT1G55980,5.431677078,4.672815869,5.14145185
AT1G55990,0,0,0
AT1G56000,5.368508195,7.205733265,8.635165745
AT1G56010,40.22891668,29.64409121,2.922811141
AT1G56020,1.990536047,1.633879775,3.178716197
AT1G56030,0,0,0
AT1G56040,0,0,0
AT1G56045,7.616399296,6.860402532,9.136675341
AT1G56050,0.949035531,3.043100927,20.62953615
AT1G56060,0.578139667,0.795408989,0.099206597
AT1G56070,454.36717,378.3495705,223.7405068
AT1G56080,0.602725693,0.712769094,1.600189522
AT1G56085,0,0,0
AT1G56090,4.889447862,2.19532881,0.805324138
AT1G56100,0,0,0
AT1G56105,0,0,0
AT1G56110,9.806400631,14.99389925,34.73453337
AT1G56120,0.161752518,0.20267068,0.370742526
AT1G56130,0.342084323,0.332345825,0.368457806
AT1G56140,9.606158307,6.455618225,5.008541379
AT1G56145,5.964762608,4.973266463,2.695402623
AT1G56150,0.554853254,0.121662311,1.804045083
AT1G56160,0.018155256,0,0.066201694
AT1G56165,0.190907136,0.204649296,0.116021274
AT1G56170,2.02850812,1.446470413,0.577310677
AT1G56180,5.045595102,4.095818128,2.153615465
AT1G56190,14.60625595,33.02078901,87.19289857
AT1G56200,23.44428783,12.33934815,14.67285904
AT1G56210,2.956105793,1.580754931,0.939725475
AT1G56220,135.7425675,37.99923119,13.23001801
AT1G56225,0,0,0
