"Gene.ID","Col.D.N","Col.DL.N","Col.WL.N","Col.D.F","Col.DL.F","Col.WL.F","Col.D.P","Col.DL.P","Col.WL.P","Col.D.SM","Col.DL.SM","Col.WL.SM"
"atU1-10",49515,33165,8555,12887,11090,10954,796,274,136,116,201,119
"atU1-11p",0,1,0,0,0,0,0,0,0,0,0,0
"atU1-12p",386,337,143,463,473,749,3,2,6,1,0,7
"atU1-13p",3,0,0,0,0,0,2,0,0,0,0,0
"atU1-14p",2,0,0,1,0,0,0,0,0,0,0,0
"atU12",6898,4607,583,8344,7752,4688,77,18,92,16,19,20
"atU1-2",246323,178732,55164,75968,61655,70424,6379,3098,1939,1253,3131,1547
"atU1-3",475410,333780,86480,133975,101845,100364,11525,5662,3160,2239,5796,2520
"atU1-4",273380,188040,44789,85317,68382,61172,5597,2372,894,1038,2212,592
"atU1-5",1002325,700449,171934,319127,243510,210552,28260,11778,5640,4968,13624,5197
"atU1-6",1628002,1136902,296113,557049,443105,387473,50541,22805,10721,8468,23784,8994
"atU1-7",1622584,1132559,295030,556362,442000,386064,50507,22771,10704,8457,23762,8978
"atU1-8",64686,43861,15535,24571,22502,22645,1528,646,265,221,573,231
"atU1-9",73095,50333,16133,29906,26820,25033,1542,629,307,260,523,276
"atU1a",255516,194146,48649,80114,68809,66574,5310,2568,976,1007,2324,662
"atU2.2",10774,5361,2350,1717,1548,2165,199,67,158,7,20,36
"atU2.3",211275,109813,25257,45127,37220,23926,4320,1537,2589,266,618,490
"atU2.4",175493,92840,25335,42647,35022,24121,3738,1386,2461,265,583,484
"atU2.5",194697,91174,11237,15934,12710,8686,2153,433,714,92,199,160
"atU2.6",97452,50387,10124,19631,14885,10017,1726,419,836,104,202,198
"atU2.7",145500,77270,18609,27504,23636,14492,2998,1211,1581,184,436,356
"atU2.9",44025,18336,4823,25496,17065,13423,670,205,1518,133,127,102
"atU2-1",148674,74591,17413,48884,36619,25960,2830,933,2850,260,410,373
"atU2-10",149377,72180,19291,60456,42490,31777,3082,933,3593,323,509,355
"atU2-10b/12",157075,73476,22444,70428,49529,38583,3365,1040,4337,385,552,446
"atU2-11",54738,31661,9612,12531,11381,8555,1170,460,882,61,168,189
"atU2-13",142928,80214,19840,26870,24048,15902,2856,1188,1707,179,437,351
"atU2-14",107970,57009,11291,21191,18528,10613,2094,912,981,133,297,225
"atU2-15",19215,10777,4692,6318,5755,7834,319,98,351,29,72,95
"atU2-16",1376,624,94,1722,1089,850,19,2,75,10,0,2
"atU2-17",15,20,21,17,23,71,0,0,0,0,0,0
"atU2-18p",0,0,0,0,0,0,0,0,0,0,0,0
"atU2-8",44488,26525,7506,17903,15147,14507,710,267,675,51,124,160
"atU4.1",82395,42656,10049,17374,13358,9597,973,172,425,78,114,183
"atU4.2",532112,273521,49334,53866,41633,24566,6157,1112,1210,244,703,854
"atU4.3p",1,0,0,0,0,0,0,0,0,0,0,0
"atU4-10",1,2,0,1,1,3,1,0,0,0,0,0
"atU4-11p",0,0,0,0,0,0,0,0,0,0,0,0
"atU4-4",536988,279036,49439,55035,42893,24928,6363,1066,1299,287,612,835
"atU4-5",53614,26500,7909,10594,8234,7056,672,147,344,55,70,155
"atU4-6",232575,116063,24565,21887,16201,10952,2851,447,637,103,267,380
"atU4-7",29774,14808,2941,3578,2698,1880,324,78,95,21,36,62
"atU4-8",239931,118737,24922,23075,17108,11779,2967,454,659,100,291,383
"atU4-9",5732,2961,561,7910,6396,4909,28,11,67,20,9,16
"atU4atac",8814,4877,818,7648,7792,3920,68,25,27,20,33,37
"atU5.1",750,566,223,2018,1475,1271,13,7,143,17,3,2
"atU5.1b",42656,29022,6043,84397,59792,35798,1547,400,5748,943,191,198
"atU5-10",4781,2201,261,2312,1741,1177,86,5,172,22,5,7
"atU5-11",1905,1048,115,1085,680,576,17,1,40,6,0,4
"atU5-12",498,309,98,1658,1157,977,17,9,123,17,2,2
"atU5-13",90,47,17,141,101,132,1,1,4,0,1,0
"atU5-2",2019,1089,337,5163,3524,2177,119,26,459,72,13,13
"atU5-3",40532,27729,5892,81728,57899,34421,1537,390,5598,927,190,194
"atU5-4",21747,14251,3540,44111,31862,19492,972,228,3575,499,105,122
"atU5-5",32023,21583,4716,62610,44741,25983,1324,311,4439,698,142,135
"atU5-6",20389,14068,2914,40507,27908,17530,735,185,2993,464,106,133
"atU5-7",504,290,87,820,584,403,13,4,74,12,1,5
"atU5-8",984,530,77,706,473,313,19,2,52,7,1,3
"atU5-9",1202,585,86,1193,868,565,24,7,77,11,6,2
"atU6.1",48037,31887,2562,9822,7558,4510,1007,78,1481,76,20,27
"atU6.26",48130,32098,2592,9882,7593,4522,1002,77,1484,76,20,27
"atU6.29",20420,13552,1297,4510,3337,1920,612,39,783,42,9,7
"atU6-10p",0,0,0,0,0,0,0,0,0,0,0,0
"atU6-11p",0,0,0,0,0,0,0,0,0,0,0,0
"atU6-2",48815,32413,2614,9957,7641,4561,1013,78,1490,77,20,28
"atU6-3",44004,29192,2319,8826,6879,4095,918,73,1356,65,19,26
"atU6-4",32929,22044,1597,6356,4979,3106,479,43,813,47,14,21
"atU6-5",127,236,62,385,464,288,2,4,5,0,2,1
"atU6-6",52,66,25,550,390,266,8,2,47,1,1,1
"atU6-7",0,0,0,0,1,0,0,0,0,0,0,0
"atU6-8p",3,3,2,0,3,1,0,0,1,0,0,0
"atU6-9p",0,0,0,0,0,0,0,0,0,0,0,0
"atU6atac",3840,1663,56,922,626,427,7,3,30,4,2,11
"atU6atac2",2,2,0,65,47,25,0,0,5,0,0,0
"AT1G01010",31,51,48,134,99,17,544,177,120,9,22,10
"AT1G01020",144,216,259,108,149,111,229,79,130,3,36,27
"AT1G03987",3,0,0,2,4,0,0,0,0,0,0,0
"AT1G01030",16,37,38,19,22,12,63,33,78,1,8,5
"AT1G01040",283,569,774,277,371,101,2489,1002,1202,51,132,123
"AT1G03993",2,1,0,0,1,5,5,0,0,0,0,0
"AT1G01050",206,348,393,813,442,324,1694,681,1231,39,64,144
"AT1G03997",0,0,0,1,0,0,0,0,0,0,0,0
"AT1G01060",287,153,725,324,181,281,2160,341,2122,45,41,346
"AT1G01070",34,47,141,110,67,40,338,108,71,4,6,12
"AT1G04003",0,0,0,0,0,0,0,0,0,0,0,0
"AT1G01080",53,164,249,278,305,216,654,543,1564,16,66,145
"AT1G01090",560,1152,1408,895,720,458,4972,2351,5459,94,171,246
"AT1G01100",737,1502,1653,2821,1879,1703,4807,2241,5535,47,157,349
"AT1G01110",39,30,45,66,31,18,360,58,94,1,4,11
"AT1G01120",1117,2263,1460,1369,1212,143,12552,3239,753,130,310,65
"AT1G01130",3,11,6,22,32,7,47,34,30,0,2,7
"AT1G01140",311,509,557,466,442,143,3178,1000,1024,39,75,90
"AT1G01150",4,5,0,1,1,1,0,0,6,0,0,0
"AT1G01160",74,142,184,352,203,82,589,257,355,18,40,56
"AT1G04007",1,1,1,0,1,0,2,0,0,0,0,0
"AT1G01170",169,225,231,987,690,830,1175,462,600,28,32,98
"AT1G04013",2,0,0,1,4,1,0,0,0,0,0,0
"AT1G01180",134,253,133,249,174,43,690,292,98,11,42,22
"AT1G01190",10,2,22,5,5,3,14,0,5,0,0,0
"AT1G01200",32,29,27,37,22,11,164,23,39,5,3,8
"AT1G01210",46,97,108,199,185,154,142,64,112,5,27,41
"AT1G04017",1,0,0,0,0,0,0,0,0,0,0,0
"AT1G01220",168,341,450,92,189,69,939,480,751,6,66,81
"AT1G04023",0,0,0,0,1,1,0,0,0,0,0,0
"AT1G01225",17,31,24,15,22,11,105,53,53,1,4,8
"AT1G01230",123,139,160,179,131,70,1192,265,220,14,29,25
"AT1G01240",81,119,37,159,180,26,473,133,118,14,35,33
"AT1G01250",1,6,5,4,7,3,13,11,30,0,4,1
"AT1G01260",126,119,151,177,120,42,1065,218,319,25,36,29
"AT1G01270",3,0,0,41,31,17,0,0,1,0,0,0
"AT1G01280",6,0,0,1,5,2,0,0,0,0,0,0
"AT1G01290",30,42,41,71,83,63,245,100,154,7,16,26
"AT1G01300",741,1324,1718,374,378,137,2847,842,611,21,70,60
"AT1G01305",1,1,0,0,2,0,0,0,0,0,0,0
"AT1G01310",6,1,1,3,1,1,2,0,0,0,0,0
"AT1G01320",1669,7449,6894,1544,5084,1711,19826,18650,22704,217,1368,1361
"AT1G01335",2,0,0,1,0,0,0,0,0,0,0,0
"AT1G01340",25,39,71,24,35,5,142,77,77,3,13,18
"AT1G01350",52,55,49,154,173,57,473,197,295,6,31,59
"AT1G01355",12,4,2,8,8,0,1,0,0,0,0,0
"AT1G01360",32,69,46,183,218,75,479,188,164,8,27,17
"AT1G01370",22,50,63,35,44,22,91,64,86,2,9,13
"AT1G01380",24,26,11,66,31,10,183,37,33,3,4,3
"AT1G01390",87,106,103,159,122,24,967,250,230,13,30,15
"AT1G01400",5,1,0,1,0,0,0,0,0,0,0,0
"AT1G01410",6,0,0,2,2,3,0,0,0,0,0,0
"AT1G01420",10,71,98,33,81,34,69,103,172,1,17,21
"AT1G01430",157,515,625,405,699,203,2035,1060,566,39,102,75
"AT1G01440",157,210,174,148,220,53,1197,468,498,19,66,42
"AT1G01448",85,161,90,140,106,33,139,40,50,19,25,9
"AT1G01450",5,1,0,2,6,4,0,0,0,0,0,0
"AT1G01453",8,2,22,8,2,7,18,4,27,0,1,0
"AT1G01460",4,2,0,2,7,2,0,0,0,0,0,0
"AT1G01470",379,618,106,525,665,81,4825,2012,617,29,99,35
"AT1G01480",18,41,5,23,38,4,102,85,24,2,11,0
"AT1G01490",202,234,270,700,481,196,1526,541,781,32,52,103
"AT1G01500",48,119,164,103,115,40,320,150,197,3,10,23
"AT1G01510",250,437,346,273,217,92,1583,584,763,31,70,78
"AT1G01520",11,35,30,13,45,24,36,43,49,0,5,7
"AT1G01530",3,1,0,0,0,0,0,0,0,0,0,2
"AT1G01540",286,747,1048,362,443,160,2014,1039,746,49,131,140
"AT1G01550",612,1063,923,843,866,316,4937,1599,1649,68,185,149
"AT1G01560",6,11,10,0,9,2,6,5,9,1,1,0
"AT1G01570",19,43,58,9,19,5,76,46,19,2,3,1
"AT1G01580",93,105,401,104,95,54,862,129,146,9,20,11
"AT1G01590",8,3,2,1,3,0,3,0,0,0,1,0
"AT1G01600",88,50,67,99,27,13,1035,56,34,9,5,4
"AT1G01610",496,1257,1370,311,513,161,2288,1136,553,31,90,73
"AT1G01620",8408,8689,5575,4353,2278,455,64828,9971,3220,389,596,224
"AT1G01630",76,170,199,315,405,195,1557,730,756,16,65,66
"AT1G01640",21,38,13,328,213,24,276,93,28,6,17,11
"AT1G01650",823,1387,1056,239,249,65,1528,466,265,17,46,33
"AT1G01660",13,8,19,12,10,9,16,5,54,0,1,5
"AT1G01670",11,11,6,11,10,10,10,6,11,1,2,2
"AT1G01680",8,2,0,4,4,3,6,7,1,0,0,0
"AT1G01690",25,71,71,21,35,16,121,54,116,2,6,13
"AT1G01695",4,6,1,6,6,3,2,0,1,0,0,0
"AT1G04033",1,3,0,0,0,0,1,0,0,0,1,0
"AT1G04037",0,0,0,0,2,0,0,0,0,0,0,0
"AT1G01700",3,8,10,4,10,8,32,16,21,0,1,0
"AT1G01710",225,412,384,195,201,74,837,317,415,13,41,47
"AT1G01715",23,30,35,26,18,16,37,15,25,0,3,5
"AT1G04043",2,1,1,0,6,1,0,0,2,0,0,0
"AT1G01720",805,1394,949,594,586,149,2124,622,530,41,107,64
"AT1G01725",12,7,9,133,58,43,139,34,46,2,6,13
"AT1G04047",4,11,10,4,2,2,4,0,0,0,0,0
"AT1G01730",77,114,75,330,219,64,675,235,226,7,35,29
"AT1G01740",26,44,92,23,44,17,54,36,64,1,14,15
"AT1G01750",7,2,33,27,37,43,214,55,298,0,8,29
"AT1G04053",7,14,16,10,16,8,19,10,12,2,1,2
"AT1G01760",72,135,161,23,32,14,99,44,53,1,8,11
"AT1G04057",0,0,0,0,0,0,0,0,0,0,0,0
"AT1G01770",223,639,492,244,193,53,678,287,279,30,50,41
"AT1G01780",125,162,68,883,320,53,719,321,187,14,31,21
"AT1G01790",362,1622,1956,198,663,320,2234,1852,3216,34,198,231
"AT1G04063",4,1,0,2,0,0,0,0,0,0,0,0
"AT1G01800",169,336,305,512,419,281,1660,472,832,25,64,124
"AT1G01810",2,7,0,7,7,4,13,6,3,0,1,1
"AT1G01820",228,363,244,663,404,211,1324,477,542,23,51,72
"AT1G01830",98,140,112,138,157,38,924,329,325,23,35,31
"AT1G04067",12,5,4,3,3,0,1,2,0,0,0,0
"AT1G01840",3,11,14,14,21,7,29,25,23,0,0,1
"AT1G01860",63,156,170,50,107,53,237,158,234,4,11,19
"AT1G04073",1,0,0,0,0,0,0,0,0,0,0,0
"AT1G01870",3,1,1,120,116,56,0,0,5,0,0,0
"AT1G01880",35,42,48,21,20,10,58,23,30,4,3,7
"AT1G01890",2,4,0,57,61,19,0,1,10,0,0,0
"AT1G01900",100,139,286,92,69,18,1084,267,97,10,14,15
"AT1G04077",6,10,6,2,5,0,3,0,0,0,0,0
"AT1G01910",177,478,508,270,386,197,1390,663,1060,23,63,121
"AT1G04083",2,2,0,0,0,0,0,0,0,0,0,0
"AT1G01920",77,172,211,87,61,56,332,86,201,10,17,30
"AT1G01930",64,92,174,107,136,68,514,256,331,16,32,34
"AT1G01940",18,43,53,116,103,85,191,140,206,3,16,19
"AT1G01950",211,359,510,129,129,61,1153,347,597,21,37,37
"AT1G01960",1034,2082,2537,841,900,346,9518,2833,3936,106,301,262
"AT1G01970",110,380,354,179,363,141,646,801,944,15,81,115
"AT1G01980",6,0,1,5,1,0,0,0,0,0,0,0
"AT1G01990",29,114,99,240,242,93,249,126,137,12,47,51
"AT1G02000",88,140,174,126,105,30,520,197,105,7,21,13
"AT1G02010",140,292,296,92,98,45,318,101,146,8,36,25
"AT1G02020",67,140,112,47,72,28,225,107,179,3,20,19
"AT1G02030",17,8,4,6,19,7,27,12,4,0,4,1
"AT1G02040",4,0,0,3,5,1,5,1,1,0,0,0
"AT1G02050",25,13,28,20,20,9,98,34,71,9,10,9
"AT1G02060",57,53,78,30,28,5,159,49,80,13,21,19
"AT1G02065",6,0,3,4,7,4,5,0,3,1,0,1
"AT1G02067",1,0,0,1,0,0,0,0,0,0,0,0
"AT1G02070",2,1,0,4,1,3,5,2,1,0,0,0
"AT1G02080",1731,3995,4282,1183,1408,434,11415,3700,4386,99,341,255
"AT1G02090",102,251,205,208,301,145,695,405,642,14,39,49
"AT1G02100",314,534,463,840,479,118,896,326,349,64,90,68
"AT1G02110",162,168,171,117,114,42,604,191,415,29,25,40
"AT1G02120",686,988,723,324,315,79,1715,743,867,39,73,80
"AT1G02130",165,254,181,286,310,175,1328,515,620,12,38,65
"AT1G04087",2,0,0,1,1,0,0,0,0,0,0,0
"AT1G02136",2,1,2,0,0,1,0,0,0,0,0,0
"AT1G02140",134,339,299,798,607,494,2413,997,1357,28,68,121
"AT1G02145",243,464,516,120,134,63,352,164,131,6,17,30
"AT1G02150",486,824,986,921,624,373,1672,1563,2456,111,159,263
"AT1G02160",42,46,56,225,144,131,289,72,158,11,15,30
"AT1G02170",69,110,161,182,143,63,729,219,397,8,14,37
"AT1G02180",34,51,70,56,49,18,165,88,50,3,6,13
"AT1G02190",11,1,2,10,9,3,12,4,3,0,0,0
"AT1G02205",744,1048,173,618,570,26,6337,1526,90,48,108,7
"AT1G04093",1,0,0,0,1,0,0,0,0,0,0,0
"AT1G02210",0,0,0,0,0,0,0,0,0,0,0,0
"AT1G02220",15,63,15,32,63,15,162,78,88,4,19,7
"AT1G02228",7,0,0,2,0,0,0,1,0,0,0,0
"AT1G02230",4,4,3,15,8,4,35,4,1,0,0,0
"AT1G02250",4,1,1,0,1,1,2,4,1,0,0,0
"AT1G02260",102,164,173,88,82,29,465,97,117,20,35,24
"AT1G02270",68,153,176,85,121,71,535,236,293,9,26,25
"AT1G02280",376,491,418,3711,877,684,1643,1212,1250,90,136,266
"AT1G02290",29,70,61,69,67,27,309,109,172,10,14,30
"AT1G02300",157,191,194,154,159,106,190,92,128,12,19,30
"AT1G02305",516,774,831,1969,861,234,4138,1374,615,126,136,101
"AT1G04097",0,0,0,0,0,0,5,0,0,0,0,0
"AT1G02310",24,44,15,10,15,10,48,23,10,0,1,1
"AT1G04103",7,3,1,10,5,1,2,1,0,2,0,0
"AT1G02320",1,0,0,2,0,0,0,0,0,0,0,0
"AT1G02330",30,45,50,135,146,47,870,468,621,12,28,44
"AT1G02335",58,111,124,49,57,11,810,288,81,8,13,5
"AT1G02340",299,246,34,1436,863,49,2397,415,60,67,80,10
"AT1G02350",41,31,23,29,14,11,13,0,6,0,1,7
"AT1G02360",30,134,226,97,168,35,672,349,151,8,21,12
"AT1G02370",30,56,55,28,38,18,143,75,152,5,10,6
"AT1G02380",2,10,5,19,42,16,26,20,38,0,2,4
"AT1G02390",22,19,27,15,24,6,53,20,13,0,1,0
"AT1G02400",193,159,132,427,133,41,867,100,122,24,19,20
"AT1G02405",3,0,0,4,0,1,5,2,0,0,0,0
"AT1G02410",98,221,171,98,111,61,372,198,278,8,20,36
"AT1G02420",36,65,58,36,52,20,125,80,87,1,16,13
"AT1G04117",2,2,2,3,10,0,13,1,8,0,0,3
"AT1G02430",3,3,2,7,14,4,23,4,15,0,0,3
"AT1G04123",4,7,3,0,3,0,2,0,0,0,0,0
"AT1G02440",5,0,1,9,2,2,6,1,2,0,0,0
"AT1G02450",2,2,0,1,3,1,1,0,2,0,0,0
"AT1G02460",25,17,24,10,12,6,89,20,12,2,1,2
"AT1G02470",9,15,14,6,18,1,14,19,9,0,1,1
"AT1G02475",80,221,270,86,193,129,314,327,754,1,44,52
"AT1G02480",3,1,0,1,0,1,0,0,0,0,0,0
"AT1G02490",2,0,1,3,3,2,0,0,3,0,0,1
"AT1G02500",1332,2871,2992,4225,3289,805,10745,4902,6246,335,868,700
"AT1G02510",5,1,0,1,3,2,0,0,0,0,0,0
"AT1G02520",67,105,115,65,116,18,768,235,88,6,26,8
"AT1G02530",15,5,2,13,19,14,13,6,0,1,0,0
"AT1G02540",4,0,0,3,2,1,0,0,0,0,0,0
"AT1G02550",2,0,0,5,0,0,0,0,0,0,0,0
"AT1G02560",392,1061,1289,678,908,957,3067,2020,4919,39,143,449
"AT1G02570",10,3,23,7,6,3,27,3,12,0,0,0
"AT1G02575",4,1,5,5,5,3,7,3,6,0,0,0
"AT1G02580",11,3,1,3,3,2,9,6,2,1,0,1
"AT1G04127",4,4,3,1,0,0,0,0,1,0,0,0
"AT1G02590",6,0,0,5,10,2,0,0,2,0,0,0
"AT1G02600",54,19,8,687,490,210,8,1,31,3,0,0
"AT1G02610",70,40,47,170,65,35,217,41,38,8,2,3
"AT1G02620",10,2,2,14,6,1,28,2,2,1,2,0
"AT1G04133",8,3,0,9,2,0,18,0,0,2,0,0
"AT1G04137",3,0,0,1,2,2,0,0,0,0,0,0
"AT1G02630",8,1,5,7,3,0,1,4,0,1,0,0
"AT1G02640",1215,1215,1739,912,280,100,9774,1032,584,106,59,53
"AT1G02650",17,10,23,9,11,5,35,8,29,0,0,3
"AT1G02660",213,216,276,259,133,46,1525,157,214,26,29,20
"AT1G02670",24,17,20,16,14,7,34,13,28,0,1,10
"AT1G02680",47,76,68,152,154,72,175,82,103,3,6,9
"AT1G02681",3,3,6,2,1,0,1,1,0,0,0,0
"AT1G04143",1,1,0,0,0,0,0,0,0,0,0,0
"AT1G02690",59,138,223,76,84,49,516,259,480,9,20,17
"AT1G02700",18,11,3,16,12,5,54,15,17,0,3,0
"AT1G02705",3,5,36,6,34,12,15,34,27,0,3,1
"AT1G02710",1,0,0,3,4,1,0,0,0,0,0,0
"AT1G02720",38,130,143,101,95,43,178,74,73,9,29,31
"AT1G02730",139,455,1459,105,163,81,1533,745,925,19,47,68
"AT1G02740",55,117,56,63,68,18,296,109,120,2,16,17
"AT1G02750",68,118,77,328,191,79,327,143,153,9,29,28
"AT1G02760",5,13,4,75,45,31,2,2,23,1,0,0
"AT1G02770",13,10,2,13,16,1,84,36,5,3,2,2
"AT1G02780",693,1864,2858,4244,3818,3622,16717,7456,17091,125,578,1528
"AT1G02790",1,1,0,0,2,0,0,0,0,0,0,0
"AT1G02800",228,39,25,204,6,3,1192,23,20,13,3,1
"AT1G02810",65,63,202,41,27,13,599,63,73,6,8,9
"AT1G02813",1,1,0,4,6,0,1,2,0,0,1,0
"AT1G02816",110,162,211,213,175,86,890,194,186,9,25,16
"AT1G02820",1,17,32,6,25,53,17,27,59,0,5,12
"AT1G02830",0,0,2,2,2,0,0,2,0,0,0,1
"AT1G02840",749,1093,1060,2816,863,250,2808,1063,1259,124,118,149
"AT1G02850",200,322,299,206,147,51,961,347,191,12,25,28
"AT1G02860",122,151,94,247,246,49,1146,317,161,20,36,26
"AT1G04147",0,0,0,0,0,0,0,1,0,0,0,0
"AT1G02870",28,75,75,177,138,109,230,136,273,0,13,34
"AT1G04153",1,0,0,0,0,0,0,0,0,0,0,0
"AT1G02880",192,457,253,106,242,54,386,202,176,8,40,19
"AT1G02890",595,1482,1564,643,862,251,5538,2134,2179,67,261,178
"AT1G02900",41,59,113,346,230,100,938,323,185,10,25,19
"AT1G02910",135,369,440,149,217,145,707,646,1274,8,52,81
"AT1G02920",37,67,78,88,102,37,782,222,406,3,13,23
"AT1G02930",52,196,172,52,315,170,479,788,1796,3,49,104
"AT1G02940",3,4,9,0,1,2,0,2,21,0,2,0
"AT1G02950",23,43,35,33,44,15,357,131,104,2,7,7
"AT1G02952",1,0,0,0,0,0,6,0,0,0,0,0
"AT1G02960",74,74,88,116,88,33,383,86,152,6,23,28
"AT1G02965",2,0,2,0,0,0,0,0,0,0,0,0
"AT1G02970",18,26,70,21,23,23,93,49,137,1,1,12
"AT1G02980",15,1,0,5,6,1,1,4,2,0,0,1
"AT1G02990",130,170,146,158,219,84,1068,413,477,16,43,49
"AT1G03000",228,591,577,149,268,88,1006,434,627,24,81,49
"AT1G03010",10,4,3,7,5,2,49,13,22,1,0,1
"AT1G03020",3,1,4,1,2,11,0,2,21,0,0,1
"AT1G03030",175,239,229,102,100,76,511,128,347,5,18,28
"AT1G03040",186,438,348,150,258,75,988,439,480,13,39,71
"AT1G03050",6,0,0,8,2,4,0,0,0,0,0,0
"AT1G03055",3,25,17,1,42,20,2,49,66,0,2,6
"AT1G03060",1028,2106,2593,845,1096,351,9176,3192,3419,84,219,156
"AT1G03070",31,32,31,18,21,2,102,32,12,0,5,1
"AT1G03080",408,659,387,847,992,222,7321,2511,2160,79,285,155
"AT1G03090",858,555,734,1146,367,116,6758,647,689,133,71,59
"AT1G04157",1,0,0,0,0,0,6,0,0,0,0,0
"AT1G03100",30,18,33,12,26,14,86,62,78,2,8,10
"AT1G04163",3,3,0,0,2,0,0,0,0,0,0,0
"AT1G03103",3,0,0,1,1,0,0,0,0,0,0,0
"AT1G03106",79,48,5,136,54,8,19,2,4,4,5,3
"AT1G03110",42,151,182,76,112,54,332,280,382,0,23,24
"AT1G03120",6,3,3,8,8,3,41,8,13,0,1,2
"AT1G03130",33,400,653,554,2027,1346,2254,4904,6399,24,293,569
"AT1G03140",149,247,144,777,319,107,1624,684,769,35,56,90
"AT1G03150",55,139,119,139,184,110,381,184,268,5,14,31
"AT1G04167",1,0,0,2,0,1,0,0,0,0,0,0
"AT1G03160",373,1015,955,204,289,142,1490,632,1252,16,88,121
"AT1G03165",13,24,15,7,7,2,7,6,7,0,0,1
"AT1G04173",1,0,0,0,0,2,0,0,0,0,0,0
"AT1G03170",12,15,10,14,13,2,41,6,6,1,0,0
"AT1G03180",28,33,32,22,37,22,50,43,45,0,8,0
"AT1G03190",91,178,204,53,57,27,401,150,168,7,21,18
"AT1G04177",1,0,0,1,1,0,0,0,0,0,0,0
"AT1G03200",31,35,13,37,29,6,58,14,14,1,3,2
"AT1G03210",125,182,87,169,148,55,647,171,213,10,22,21
"AT1G03220",1353,4112,2612,1214,1829,244,9799,5089,1306,87,392,109
"AT1G03230",257,440,1144,179,154,80,1616,486,403,14,39,35
"AT1G03240",2,4,3,2,6,0,3,0,0,0,0,1
"AT1G03250",74,178,184,156,161,119,517,235,461,9,27,50
"AT1G03260",86,193,179,83,101,62,346,115,71,9,24,23
"AT1G03270",36,68,87,12,20,9,67,24,29,0,4,3
"AT1G03280",108,194,191,256,253,98,1240,562,480,28,49,55
"AT1G03290",189,153,106,171,144,33,1215,301,252,12,24,23
"AT1G03300",17,24,27,16,52,11,87,73,137,1,5,11
"AT1G03310",58,239,404,71,232,140,707,618,1565,9,60,89
"AT1G03320",11,5,6,38,17,8,23,16,11,1,1,3
"AT1G03325",3,0,0,2,1,0,0,0,0,0,0,0
"AT1G03330",49,67,58,389,279,238,516,232,351,2,19,38
"AT1G03340",21,27,22,40,35,6,97,45,52,4,5,4
"AT1G03350",58,139,156,282,304,91,2345,896,1033,24,70,93
"AT1G03360",31,127,158,50,57,34,196,110,205,1,10,14
"AT1G03365",83,128,101,97,105,42,613,236,376,8,28,32
"AT1G03370",192,421,456,243,239,79,1405,567,434,24,62,52
"AT1G03380",458,963,708,464,564,108,4363,1233,908,55,127,67
"AT1G03390",7,1,0,3,2,7,0,0,0,0,0,0
"AT1G03395",3,2,2,0,1,0,1,0,1,0,1,0
"AT1G03400",18,22,65,21,33,20,95,31,113,0,4,9
"AT1G03410",57,106,54,173,191,32,894,234,99,10,37,27
"AT1G04183",176,263,211,328,388,156,220,98,164,20,71,75
"AT1G03420",175,263,212,328,385,156,217,99,163,20,71,75
"AT1G03430",177,300,224,198,163,74,477,161,134,7,30,25
"AT1G03440",102,220,418,54,91,39,275,144,157,7,23,17
"AT1G03445",34,32,11,15,13,5,18,17,8,2,0,1
"AT1G03457",64,165,89,131,192,61,501,290,180,12,37,27
"AT1G03470",35,32,28,79,58,15,305,120,96,8,17,16
"AT1G03475",325,875,1097,432,620,473,2970,1588,4716,16,95,215
"AT1G03490",6,0,0,3,1,1,0,0,0,0,0,0
"AT1G03495",5,47,9,3,73,4,4,127,9,0,9,0
"AT1G04187",8813,4599,251,35,35,21,37,8,11,2,3,5
"AT1G04193",8860,4873,464,169,143,111,18,6,10,0,3,5
"AT1G03502",32,93,104,62,59,17,8,5,3,2,2,5
"AT1G03506",135,146,116,104,74,59,10,7,4,2,4,1
"AT1G04197",121,160,119,76,51,18,9,6,4,0,2,0
"AT1G03510",14,4,8,24,14,4,52,15,41,1,4,3
"AT1G03515",2,1,0,6,2,1,0,0,0,0,0,0
"AT1G03520",142,216,191,115,141,49,483,136,105,16,28,24
"AT1G03530",41,83,119,50,76,20,556,357,526,9,28,28
"AT1G03540",23,28,43,15,12,2,54,35,57,1,1,2
"AT1G03550",114,160,107,66,65,12,99,30,42,6,6,9
"AT1G03545",8,5,6,12,15,2,26,20,24,0,0,3
"AT1G03560",33,51,63,59,95,28,228,137,201,5,21,22
"AT1G03570",13,6,0,517,371,211,3,3,14,1,2,0
"AT1G03580",4,4,20,6,12,0,6,3,7,0,0,3
"AT1G03590",177,313,203,308,353,87,1510,608,443,39,83,67
"AT1G03600",148,955,771,2204,1759,1191,2208,3649,6067,41,204,351
"AT1G03610",322,334,333,396,248,78,1312,275,225,28,50,32
"AT1G03620",19,12,8,12,18,7,23,12,2,0,1,2
"AT1G03630",81,348,615,149,388,395,1078,1582,3684,7,71,198
"AT1G03640",1,1,0,0,0,0,0,0,0,0,0,0
"AT1G03650",13,22,17,55,48,35,35,18,23,2,2,5
"AT1G03660",18,21,23,29,33,17,58,14,7,3,1,1
"AT1G04203",0,2,0,0,0,0,0,0,0,0,0,0
"AT1G03670",7,3,0,2,3,0,0,0,0,0,0,0
"AT1G03680",415,1399,951,329,685,892,1778,2081,4655,15,127,342
