"Gene.ID","Col.D.N","Col.DL.N","Col.WL.N","Col.D.F","Col.DL.F","Col.WL.F","Col.D.P","Col.DL.P","Col.WL.P","Col.D.SM","Col.DL.SM","Col.WL.SM"
"AT3G03270",52,159,90,341,301,71,1130,517,355,14,63,36
"AT3G03272",4,3,2,2,1,0,1,0,0,0,0,0
"AT3G03280",10,24,29,55,58,14,99,23,20,1,5,5
"AT3G03290",5,0,2,4,7,3,4,0,7,0,1,1
"AT3G03300",238,476,496,147,187,81,795,319,436,13,44,51
"AT3G03305",165,284,511,122,162,60,1013,327,215,17,42,29
"AT3G03310",156,204,159,271,196,61,743,218,191,18,39,33
"AT3G03320",54,89,80,91,94,44,384,107,155,2,11,25
"AT3G03330",129,175,251,388,203,100,603,164,122,16,18,34
"AT3G03340",71,212,211,191,238,91,850,350,400,15,33,39
"AT3G03341",61,71,7,49,64,3,404,140,26,8,11,3
"AT3G03350",72,158,124,35,60,18,167,76,68,4,19,7
"AT3G03360",45,107,66,54,60,20,129,82,68,8,19,13
"AT3G03370",32,72,59,24,37,17,21,12,14,1,8,10
"AT3G03380",1354,2001,1453,663,584,231,5205,1737,2175,187,227,200
"AT3G03400",1,0,0,2,0,1,0,0,0,0,0,0
"AT3G03405",1,0,0,0,2,2,0,0,0,0,0,0
"AT3G03410",2,0,0,0,0,0,0,0,0,0,0,0
"AT3G03420",43,43,67,110,103,57,268,119,201,2,16,15
"AT3G03430",2,3,0,2,1,0,1,1,1,0,0,0
"AT3G03440",77,205,59,44,108,18,196,160,63,3,19,12
"AT3G03450",37,59,79,50,53,23,393,147,125,2,18,15
"AT3G03460",6,9,11,18,37,10,63,50,74,1,5,4
"AT3G03470",35,31,17,85,64,5,523,89,36,7,9,3
"AT3G03480",4,1,0,0,4,0,0,0,0,0,0,0
"AT3G03490",77,68,39,352,193,60,330,169,158,6,15,27
"AT3G03500",48,102,96,67,63,32,400,91,158,4,13,13
"AT3G01255",1,0,0,0,1,0,0,0,0,0,0,0
"AT3G03510",7,0,1,0,2,0,0,0,0,0,0,0
"AT3G03520",65,117,104,162,187,51,1666,470,373,31,44,24
"AT3G03530",5,3,8,6,12,6,43,26,26,0,6,1
"AT3G03540",3,2,1,4,1,1,0,2,0,0,0,0
"AT3G03550",29,63,115,105,130,43,341,173,99,7,5,19
"AT3G03560",118,159,157,142,199,102,697,273,474,15,37,67
"AT3G03570",132,297,286,158,187,71,861,303,351,10,33,42
"AT3G03580",17,42,46,17,39,13,62,60,94,2,6,13
"AT3G01275",0,0,0,1,1,0,0,0,0,0,0,0
"AT3G01285",1,0,0,0,0,0,0,0,0,0,0,0
"AT3G03590",34,55,24,41,32,10,180,38,75,4,4,7
"AT3G03600",55,106,159,138,96,67,622,260,472,9,15,36
"AT3G03610",95,157,133,135,127,52,455,170,152,9,14,18
"AT3G01295",0,0,0,1,1,2,0,0,0,0,0,0
"AT3G03620",12,11,3,5,10,4,29,12,2,0,0,0
"AT3G03630",19,57,103,58,99,71,167,166,530,6,10,38
"AT3G03640",203,536,305,167,357,36,2075,1607,262,11,82,20
"AT3G03650",14,29,19,22,22,4,81,32,10,2,7,2
"AT3G03660",9,1,3,4,4,4,7,1,4,0,0,3
"AT3G01305",0,0,0,1,2,0,0,0,0,0,0,0
"AT3G01315",0,0,0,0,1,0,0,0,0,0,0,0
"AT3G03670",4,0,0,1,2,1,0,0,0,0,0,0
"AT3G03680",80,124,291,58,72,27,543,161,551,1,23,32
"AT3G03690",35,68,100,91,117,42,226,100,63,2,15,6
"AT3G03702",18,8,6,8,19,2,23,8,12,3,2,2
"AT3G03700",55,86,47,48,89,11,318,152,42,5,18,7
"AT3G03710",422,1205,1102,209,506,275,2700,2012,2974,32,133,196
"AT3G03720",335,666,749,204,282,81,1215,512,313,19,57,32
"AT3G03726",4,0,0,0,2,0,0,0,0,0,0,0
"AT3G03730",5,0,0,2,3,3,0,0,0,0,0,0
"AT3G03740",94,169,162,111,131,62,725,336,422,10,29,40
"AT3G03750",17,64,61,50,53,33,99,63,66,4,5,8
"AT3G03760",4,0,0,2,3,0,1,0,0,0,0,0
"AT3G03770",84,641,746,40,270,72,399,694,409,3,105,60
"AT3G03773",47,51,59,76,57,40,229,73,111,2,12,14
"AT3G03776",5,6,0,9,25,3,20,21,4,0,2,1
"AT3G03780",603,3293,3028,431,1326,638,5713,4747,5885,51,250,336
"AT3G03790",268,497,690,232,294,134,1841,716,1265,27,75,121
"AT3G03800",8,1,0,2,4,4,0,0,0,0,0,0
"AT3G03810",252,488,500,133,167,54,802,313,214,11,36,20
"AT3G03820",18,14,14,190,116,69,199,31,34,4,3,9
"AT3G03826",1,0,0,0,0,0,0,0,0,0,0,0
"AT3G03828",0,1,0,1,1,0,1,0,0,1,0,0
"AT3G03830",25,4,9,156,36,14,195,11,11,3,1,6
"AT3G03840",21,4,8,165,46,29,137,14,18,4,1,3
"AT3G03845",1,5,2,14,57,11,0,0,0,0,0,0
"AT3G03847",0,1,1,7,0,0,3,0,0,0,0,0
"AT3G03850",30,9,29,205,37,56,166,6,39,3,5,10
"AT3G03852",1,1,0,6,25,7,0,0,0,0,0,0
"AT3G03855",43,51,102,52,36,24,214,67,124,1,26,13
"AT3G03860",356,529,572,344,378,133,1458,485,273,19,57,53
"AT3G03870",143,171,158,478,365,77,959,231,153,16,47,22
"AT3G03880",80,123,123,181,192,74,447,157,173,10,27,20
"AT3G03890",80,198,197,173,169,155,350,188,460,7,31,45
"AT3G03900",26,51,78,63,94,49,167,100,106,0,12,17
"AT3G01365",1,0,0,3,2,1,1,0,0,0,0,0
"AT3G03910",6,1,4,5,7,4,20,3,11,0,2,1
"AT3G03920",105,272,346,1119,825,405,815,684,1625,20,47,113
"AT3G01375",1,0,0,0,2,0,0,0,0,0,0,0
"AT3G03930",3,1,0,2,8,0,6,0,0,0,0,0
"AT3G03940",319,682,991,359,558,188,3178,1649,1883,58,151,145
"AT3G03950",70,192,148,194,288,117,547,430,516,11,46,35
"AT3G03960",273,730,1314,329,486,322,3795,1492,3162,44,102,207
"AT3G03970",44,92,78,62,58,19,209,93,128,3,17,22
"AT3G03980",60,112,106,69,62,61,280,152,327,6,20,24
"AT3G03990",331,843,579,595,846,224,1876,1074,933,23,87,67
"AT3G04000",39,60,12,80,62,11,145,78,37,0,6,4
"AT3G04010",71,157,106,137,107,24,769,219,86,15,31,6
"AT3G04020",14,14,27,22,25,21,70,35,100,1,5,9
"AT3G04030",11,8,10,20,43,17,76,44,84,1,4,8
"AT3G01385",3,1,0,3,3,0,0,0,0,0,0,0
"AT3G04040",12,21,17,16,21,8,32,19,8,2,0,2
"AT3G04050",8,4,3,3,2,0,2,3,1,0,1,2
"AT3G04060",52,115,69,120,158,24,491,214,105,15,44,12
"AT3G04070",21,58,38,97,145,27,413,132,108,6,22,13
"AT3G04080",197,498,863,195,238,79,1234,450,411,13,56,50
"AT3G04090",316,939,833,439,542,226,1856,913,526,18,78,58
"AT3G04100",0,0,0,4,2,0,0,0,0,0,0,0
"AT3G01395",1,0,0,1,1,0,0,0,0,0,0,0
"AT3G04110",24,60,131,23,47,28,122,55,90,3,20,13
"AT3G04120",2800,6605,7888,1859,2785,1996,27228,10071,22859,138,518,977
"AT3G04130",26,43,53,25,53,24,140,71,85,3,6,17
"AT3G04140",60,379,304,49,174,41,388,467,431,7,54,43
"AT3G04150",2,0,0,0,0,0,0,0,0,0,0,0
"AT3G04160",36,49,55,21,22,7,81,29,56,4,9,16
"AT3G04170",0,1,0,2,2,0,0,0,0,0,0,0
"AT3G04180",2,0,0,3,4,2,0,0,0,0,0,0
"AT3G04181",7,6,8,18,9,7,7,8,2,0,2,0
"AT3G04184",6,2,2,86,8,3,8,1,2,1,1,3
"AT3G01425",19,6,8,104,13,6,10,4,7,2,2,1
"AT3G04190",1,0,0,0,2,2,0,0,0,0,0,0
"AT3G04200",2,0,0,2,1,1,0,0,0,0,0,0
"AT3G04210",11,0,83,5,6,14,0,0,43,0,0,7
"AT3G04220",7,1,5,6,3,5,21,8,5,0,0,0
"AT3G01445",0,0,0,1,1,2,0,0,0,0,0,0
"AT3G04230",33,74,59,98,90,61,331,129,213,0,10,11
"AT3G04240",731,1481,1362,496,686,212,3899,1368,1530,55,155,119
"AT3G04250",5,1,0,3,3,1,0,0,0,0,0,0
"AT3G04260",253,782,781,208,456,215,2117,1450,2575,30,79,106
"AT3G04270",1,0,0,0,0,0,0,0,0,0,0,0
"AT3G04280",2,0,0,0,2,1,0,0,0,0,0,0
"AT3G04290",236,1580,1556,136,906,217,1247,2293,875,8,172,77
"AT3G04300",6,14,13,15,24,14,26,18,19,0,1,4
"AT3G04310",37,61,62,32,65,28,91,89,87,1,22,25
"AT3G04320",15,15,54,37,69,26,306,135,111,3,4,7
"AT3G04330",4,2,20,6,19,6,58,20,24,0,0,2
"AT3G04340",200,597,825,305,606,360,2826,1659,3177,46,120,184
"AT3G04350",451,572,387,414,326,67,1499,462,420,91,100,72
"AT3G04360",7,4,3,26,22,5,18,8,4,1,0,0
"AT3G04370",3,1,6,1,4,6,7,4,3,0,0,0
"AT3G04380",10,23,38,18,31,16,75,43,82,2,12,14
"AT3G04390",0,0,0,1,0,0,0,0,0,0,0,0
"AT3G04400",1375,3195,2850,4493,4141,5059,8125,3793,9257,74,356,1039
"AT3G04410",2,8,2,0,0,0,0,0,1,0,0,0
"AT3G04420",7,12,14,8,14,4,20,15,35,0,0,6
"AT3G04430",3,0,0,1,1,3,0,0,0,0,0,0
"AT3G04440",46,64,38,40,71,10,247,113,37,4,13,4
"AT3G04443",17,8,14,17,25,2,26,9,14,3,1,8
