Gene.ID,WTD_N_F.FC,WTD_N_F.p,WTD_N_F.q,WTDL_N_F.FC,WTDL_N_F.p,WTDL_N_F.q,WTWL_N_F.FC,WTWL_N_F.p,WTWL_N_F.q
AT1G36623,-2.163807951,0.815367594,NA,0,1,NA,2.498973176,0.787594235,NA
AT1G06983,0.786658361,0.440892829,0.560765992,2.406460005,0.012425206,0.026545548,3.758806762,0.006180988,0.01457198
AT1G36630,-0.909773638,0.620933446,0.725103581,0.97924011,0.595815372,0.680797004,6.017001909,0.004938198,0.011908295
AT1G36627,-1.623434081,0.861041829,NA,0,1,NA,2.498973176,0.787594235,NA
AT1G36640,1.512824823,0.327529872,0.445291435,4.595045938,0.001734764,0.004505492,3.414486295,0.030944825,0.061301371
AT1G36650,-1.103367464,0.904564952,NA,1.126324415,0.903343496,NA,0,1,NA
AT1G06987,0.288711087,0.975167107,NA,1.126324415,0.903343496,NA,0,1,NA
AT1G36660,-1.134575396,0.901445799,NA,2.136518347,0.816878981,NA,2.498973176,0.787594235,NA
AT1G36670,-2.598892033,0.778866089,NA,0,1,NA,0,1,NA
AT1G36675,-0.11745991,0.920432353,0.948300816,3.480623705,0.008219481,0.01832952,1.537281384,0.402412,0.512611322
AT1G36680,1.784390809,0.471966597,NA,0.369904739,0.865983544,0.900023886,1.51905756,0.538455336,0.637909922
AT1G06993,-0.12570516,0.989119483,NA,0.140738655,0.987855768,NA,1.469223903,0.873589706,NA
AT1G36690,-3.595507699,0.646050514,NA,3.320254848,0.671264834,NA,4.421844583,0.572195068,NA
AT1G36700,-0.820893602,0.928705136,NA,1.910810979,0.836530142,NA,1.537217852,0.868360962,NA
AT1G36710,-1.202047099,0.896788887,NA,0,1,NA,2.498973176,0.787594235,NA
AT1G36720,-0.626738932,0.495612336,0.613240845,2.112223522,0.044727513,0.081540876,6.410159685,1.35E-05,4.91E-05
AT1G36730,-0.456908711,2.85E-06,1.18E-05,-0.223552555,0.005685198,0.013156013,0.189967625,0.074232151,0.130354046
AT1G36740,-0.92541182,0.919749767,NA,3.432186067,0.709734886,NA,1.537217852,0.868360962,NA
AT1G36745,-2.598891913,0.778866099,NA,2.037689473,0.825749463,NA,2.498973176,0.787594235,NA
AT1G36750,-0.435324222,0.962471943,NA,2.663160883,0.773082638,NA,4.078951459,0.658715157,NA
AT1G36756,0.643594297,0.94448482,NA,1.126324415,0.903343496,NA,0,1,NA
AT1G36763,0.604506504,0.947858187,NA,0,1,NA,2.498973176,0.787594235,NA
AT1G36770,0.25942939,0.957733537,NA,3.86235267,0.439174858,NA,3.946911062,0.433066006,0.542022103
AT1G36775,0.294309464,0.961482025,NA,0.431870537,0.94411642,NA,3.954317474,0.524310673,0.625164121
AT1G36790,0.420501419,0.93259277,NA,-0.231585358,0.963764379,0.973247961,4.400943119,0.388310699,0.499505627
AT1G36795,1.275662212,0.756609302,NA,4.102973037,0.322619063,0.424185855,3.400177732,0.424414247,0.533548231
AT1G36800,-0.256584797,0.938455054,0.960628077,4.414928568,0.207387975,0.29904595,3.399716331,0.347608367,0.459436253
AT1G36810,-0.377315533,0.919635191,NA,3.066851589,0.42286954,NA,3.399967413,0.386607649,0.497896934
AT1G36830,-1.623434081,0.861041829,NA,1.126324415,0.903343496,NA,2.498973176,0.787594235,NA
AT1G36840,-1.208277528,0.758251994,0.83338246,3.598901678,0.379298555,0.48128764,3.955459147,0.338987888,0.450618835
AT1G36850,0.388929052,0.958712024,NA,2.001912224,0.792451358,NA,4.017395467,0.59625934,NA
AT1G36880,-0.182453114,0.978356685,NA,3.862781616,0.56987566,0.657903585,2.499021556,0.71635497,0.78875026
AT1G36890,-1.517920569,0.525735475,0.641555829,3.949016926,0.128197438,0.201082479,4.417535743,0.097594653,0.164295609
AT1G36910,-0.148239874,0.984873622,NA,2.118764479,0.786681957,NA,4.37385658,0.576482872,NA
AT1G36915,0.227069704,0.980284386,NA,3.320128795,0.718852574,NA,1.537217852,0.868360962,NA
AT1G36920,1.324690264,0.821753846,NA,1.126353153,0.849001368,NA,2.499036936,0.6727156,NA
AT1G36922,0.048219647,0.995845052,NA,2.586332415,0.779503088,NA,3.441930407,0.709949435,NA
AT1G36925,0,1,NA,2.659242922,0.527271756,NA,2.499057663,0.560287283,0.657320277
AT1G06997,-0.661678757,0.943122342,NA,-0.797186233,0.931504932,NA,0,1,NA
AT1G36927,-0.661691124,0.94312128,NA,0.164569091,0.985843383,NA,2.498973176,0.787594235,NA
AT1G36933,1.593984141,0.863083106,NA,0.191888529,0.983445425,NA,0,1,NA
AT1G36936,-1.12783941,0.902778746,NA,3.625363865,0.694115931,NA,2.498973176,0.787594235,NA
AT1G36940,2.475042822,8.43E-06,3.30E-05,2.560385485,2.61E-07,1.21E-06,1.645675643,0.007537302,0.0174661
AT1G36942,-2.163802423,0.815368059,NA,2.663160883,0.773082638,NA,0,1,NA
AT1G36950,0,1,NA,0,1,NA,2.341096552,0.800406685,NA
AT1G36960,-1.637136589,0.859599308,NA,1.193012224,0.897392389,NA,2.498973176,0.787594235,NA
AT1G36970,-0.172765093,0.983582874,NA,-1.035665254,0.902026654,NA,4.373793373,0.602315408,NA
AT1G36975,-1.891762336,0.38329012,0.504386011,3.228991257,0.166534859,0.249634032,5.192253694,0.031935286,0.063063651
AT1G36980,0.558433672,0.000658734,0.001912867,0.771565679,3.36E-06,1.34E-05,2.22151958,1.02E-34,2.14E-33
AT1G36990,-0.052938844,0.790460776,0.857779677,0.147300841,0.392787426,0.494560532,-0.161155432,0.436646361,0.545222053
AT1G36992,0.288711087,0.975167107,NA,1.126324415,0.903343496,NA,2.439280526,0.792137288,NA
AT1G37000,0.380635503,0.967180544,NA,-0.797186233,0.931504932,NA,0,1,NA
AT1G37010,-0.661678757,0.943122342,NA,0,1,NA,0,1,NA
AT1G07003,0,1,NA,1.07593421,0.907457426,NA,0,1,NA
AT1G37012,-2.869158912,0.755747067,NA,-1.760411072,0.849130257,NA,0,1,NA
AT1G37015,-2.798660815,0.762182928,NA,2.306729232,0.802517919,NA,0,1,NA
AT1G37020,-2.395570845,0.536805747,NA,1.261900449,0.74524326,NA,0.575482382,0.889081509,0.924397457
AT1G37030,0.382816005,0.933279969,0.957257968,4.730017374,0.309980936,0.4106508,3.438733221,0.469042102,0.575092402
AT1G37035,-0.184300617,0.984093988,NA,2.076167662,0.821985383,NA,2.498973176,0.787594235,NA
AT1G37036,0.288711087,0.975167107,NA,0,1,NA,0,1,NA
AT1G37037,-0.184290611,0.984094852,NA,1.126324415,0.903343496,NA,0,1,NA
AT1G37038,-0.004045959,0.999334328,NA,0.123160918,0.979760971,NA,2.49904896,0.619833408,NA
AT1G37040,-0.718873319,0.719573833,0.804454997,2.721189585,0.211703647,0.304120477,2.435962486,0.32056237,0.431462929
AT1G37045,-1.211031982,0.895253543,NA,3.04155036,0.741693017,NA,0,1,NA
AT1G37050,-0.587050611,0.919645956,NA,1.914379705,0.743785132,0.802711662,3.306351642,0.579967755,0.674414698
AT1G37060,-1.113565043,0.527474538,0.643218661,4.209736553,0.042997543,0.078874396,3.412998931,0.116873972,0.190688748
AT1G37057,-1.172823436,0.817239742,NA,2.393590595,0.644196691,NA,4.945831823,0.339411986,0.451008246
AT1G37063,-1.275914646,0.890036249,NA,2.581337117,0.779921054,NA,0,1,NA
AT1G37070,-0.559428309,0.900028704,NA,2.309456064,0.608874236,NA,2.499054029,0.588349255,0.681781298
AT1G37080,-2.598891913,0.778866099,NA,3.30210905,0.720322606,NA,0,1,NA
AT1G07007,2.320172098,0.773587339,NA,-0.159248697,0.984227867,NA,2.498998263,0.75828873,NA
AT1G37090,-1.177780982,0.863970962,NA,-0.797200876,0.909592317,NA,4.732346284,0.495972457,0.59953433
AT1G37095,-3.011088231,0.744561976,NA,0,1,NA,0,1,NA
AT1G37100,-1.385987721,0.875456884,NA,2.805635431,0.752087593,NA,3.303046931,0.711366321,0.784765108
AT1G37110,-1.285080665,0.810055785,0.870753799,2.16050594,0.68742346,0.758093888,4.076114789,0.457576283,0.564708786
AT1G37113,0.457021302,0.960489392,NA,2.581337117,0.779921054,NA,0,1,NA
AT1G37120,-3.581759919,0.417467341,NA,2.845233067,0.519899677,NA,3.981829516,0.372560039,0.483951585
AT1G07013,-0.661681388,0.943122116,NA,1.126324415,0.903343496,NA,0,1,NA
AT1G37130,-0.711427906,5.76E-13,4.74E-12,-0.548284944,2.04E-09,1.21E-08,-0.886680244,1.11E-21,1.32E-20
AT1G37140,-1.315105979,0.736388004,NA,1.179578057,0.771273666,NA,0.575482421,0.888642077,NA
AT1G37150,-0.905990584,0.194104056,0.29207785,0.620766913,0.402212113,0.503740065,3.140270025,0.013276615,0.029044905
AT1G37160,-0.64653707,0.90567252,NA,3.352448561,0.543685561,NA,2.499041369,0.655877476,NA
AT1G37170,-0.765845196,0.883821576,0.922990548,1.887531975,0.723970457,0.787184092,3.488823189,0.520520214,0.621911448
AT1G37180,-0.6848258,0.940600458,NA,1.126324415,0.903343496,NA,2.498973176,0.787594235,NA
AT1G07017,-1.623434081,0.861041829,NA,1.126324415,0.903343496,NA,0,1,NA
AT1G37190,0.351324808,0.921320074,NA,0.95065217,0.789886003,0.839828017,3.315360527,0.378132767,0.489503196
AT1G37200,1.630283986,0.614079894,0.719602113,3.09619476,0.355060384,0.456809318,5.575936292,0.095447992,0.161206559
AT1G37210,-0.420889241,0.954023533,NA,4.089750372,0.57859227,NA,3.973825263,0.590937472,0.684204119
AT1G37275,-2.598892033,0.778866089,NA,-0.797186233,0.931504932,NA,0,1,NA
AT1G37340,-1.071615749,0.777031311,0.847661344,4.187585778,0.284724756,0.384230435,4.071860225,0.306501572,0.416676134
AT1G37405,-1.26457783,0.565668018,0.676782149,3.905989645,0.108544654,0.174558898,4.624457433,0.059190782,0.107261604
AT1G37471,-0.580056263,0.9094102,NA,3.056139943,0.55675437,NA,3.981904475,0.447469684,0.555426778
AT1G37537,-1.202047099,0.896788887,NA,2.4947719,0.7871739,NA,0,1,NA
AT1G37603,-1.438278273,0.811496606,NA,3.035841259,0.61844702,NA,0,1,1
AT1G37669,-1.326480574,0.862258448,NA,3.287226034,0.669702123,NA,3.303934819,0.669884663,NA
AT1G37735,-0.065456694,0.992203778,NA,3.967426578,0.558450783,0.647948113,3.491348409,0.609328719,0.699171348
AT1G37801,-1.667500098,0.857005491,NA,-0.797186233,0.931504932,NA,0,1,NA
AT1G37867,-1.904276017,0.470041996,0.588510334,2.818136994,0.295496938,0.395458094,2.499069138,0.410709724,0.520290316
AT1G37933,-1.782652677,0.755645163,NA,0.164573308,0.977737884,0.983724189,4.720586399,0.416881693,0.526291375
AT1G37999,-0.61102555,0.877207279,NA,1.10701125,0.77964136,NA,3.758645508,0.356198047,0.468448622
AT1G07023,0,1,NA,0,1,NA,2.498973176,0.787594235,NA
AT1G07027,-2.615294824,0.709656037,NA,-3.010947217,0.667214841,NA,0.575472834,0.935270212,NA
AT1G38065,-0.698436218,0.016982384,0.036297576,-0.338818662,0.226432425,0.321209173,-2.055345182,2.50E-11,1.60E-10
AT1G38131,-0.716084994,0.017165255,0.036641805,-0.516499623,0.075441555,0.128502561,-1.944804491,4.17E-10,2.42E-09
AT1G38140,-3.593172203,0.696989363,NA,1.193012224,0.897392389,NA,0,1,NA
AT1G38149,1.451942542,0.859443018,NA,2.322286353,0.777015019,NA,2.49899546,0.762175152,NA
AT1G38158,-0.000647409,0.999924689,NA,3.037757868,0.66165964,0.736172904,4.710719518,0.496936134,0.6005409
AT1G38167,-2.943439138,0.517796918,NA,1.295863915,0.778510138,NA,4.741470823,0.304499439,0.41474807
AT1G38176,-0.875870428,0.924121562,NA,2.105159165,0.819023858,NA,3.441930407,0.709949435,NA
AT1G38185,0.249964611,0.94392246,0.964041069,3.488677977,0.345819445,0.447957297,4.715777373,0.206209507,0.303700602
AT1G38194,-1.211291212,0.824803831,NA,0.425391525,0.93930016,NA,2.499040831,0.658063514,0.740755648
AT1G38203,0.288711087,0.975167107,NA,0,1,NA,0,1,NA
AT1G38212,0.601616808,0.927409716,NA,3.384032927,0.613091149,0.696094918,2.49902348,0.711832853,0.785248287
AT1G38221,0.348676641,0.961268519,NA,3.037792048,0.674485219,NA,3.34727746,0.645281241,0.729831309
AT1G38230,0.189391774,0.956122247,NA,2.214215903,0.527713465,NA,3.399747446,0.352132462,0.46427817
AT1G38240,-2.853011899,0.756478029,NA,2.997523341,0.744690773,NA,4.96780811,0.589008972,NA
AT1G38250,0.109177696,0.990521717,NA,1.126324415,0.903343496,NA,3.953762107,0.668662625,NA
AT1G38260,-3.455037815,0.598562503,NA,2.018985588,0.75776085,NA,2.499025483,0.706886717,NA
AT1G38270,1.380498913,0.842155739,NA,2.527045669,0.717867882,NA,3.491563555,0.618486433,0.707172143
AT1G38280,0.821605379,0.906012544,NA,2.581621402,0.714578557,NA,2.499017552,0.725121306,0.79598129
AT1G38290,0.67194844,0.941238411,NA,3.037919972,0.739654563,NA,3.346468956,0.715232115,NA
AT1G38300,-0.011738641,0.997661062,NA,1.775089783,0.662324262,NA,3.40013378,0.416059421,0.525470327
AT1G38310,-2.853011899,0.756478029,NA,2.997523341,0.744690773,NA,4.96780811,0.589008972,NA
AT1G38320,0.488470562,0.95776964,NA,0,1,NA,3.40103585,0.7132887,NA
AT1G38330,-3.455124695,0.59417916,NA,2.018798738,0.754958464,NA,2.49902675,0.703624645,NA
AT1G38340,-0.327232809,0.971622805,NA,2.978793195,0.746871068,NA,0,1,NA
AT1G38350,-0.499747093,0.91986571,NA,3.352377366,0.506273567,NA,4.389049985,0.385209075,0.496467635
AT1G38360,-0.817556762,0.575792036,0.686356749,1.939877824,0.208692388,0.300476302,5.678273725,0.002373059,0.00607452
AT1G38380,-3.8147404,0.6791838,NA,1.910810979,0.836530142,NA,0,1,NA
AT1G38390,-0.661678757,0.943122342,NA,2.037689473,0.825749463,NA,0,1,NA
AT1G38400,0.716130752,0.891529952,NA,3.019795783,0.567651936,NA,3.488552017,0.512517351,NA
AT1G38410,-0.592756094,0.948461555,NA,0.164569091,0.985843383,NA,0,1,NA
AT1G38416,0.487153748,0.957642051,NA,1.619581793,0.860832269,NA,3.886995184,0.673992938,NA
AT1G38423,0.378444249,0.950888869,NA,4.547414285,0.459661415,NA,3.981949147,0.520147533,0.621655167
AT1G38430,0.24083057,0.979137331,NA,2.080113396,0.82215116,NA,0,1,NA
AT1G38440,-0.829972208,0.928017348,NA,2.586332813,0.779503054,NA,3.40103585,0.7132887,NA
AT1G38450,0.202590909,0.955447608,NA,3.525571611,0.345232681,0.447424389,4.328852959,0.252456008,0.356907589
AT1G38460,-0.126846681,0.975210637,NA,1.845162541,0.659285695,0.734286796,2.499057132,0.564749009,0.661257511
AT1G38550,-1.623434081,0.861041829,NA,1.910810979,0.836530142,NA,0,1,NA
AT1G38710,-0.180587794,0.977505069,NA,0.829765632,0.896442051,NA,2.499027577,0.70143316,NA
AT1G38790,0.849752672,0.926700418,NA,2.154767548,0.81582743,NA,0,1,NA
AT1G38870,-1.348666431,0.796417681,NA,1.051946642,0.840115902,NA,5.248777184,0.318530485,0.429211092
AT1G39030,-0.09513745,0.99173138,NA,1.075934149,0.907457432,NA,2.498973176,0.787594235,NA
AT1G39110,-0.209426573,0.972837303,NA,0.448152895,0.941349872,NA,4.774439389,0.440445838,0.548960901
AT1G39190,0.154110247,0.967234477,0.979306203,-0.019428419,0.995910247,0.997293029,4.488847518,0.253470585,0.358047537
AT1G39270,-1.511645005,0.779406863,0.849433634,2.44123325,0.653236765,0.72911638,2.499041493,0.655368988,0.738205824
AT1G39430,-1.623437878,0.861041507,NA,1.126324415,0.903343496,NA,0,1,NA
AT1G39510,0.069582395,0.993973994,NA,2.136518347,0.816878981,NA,3.302851892,0.72132902,NA
AT1G39511,0.198323009,0.967307588,NA,3.019804144,0.535736278,NA,3.400480165,0.490257075,NA
AT1G39060,0,1,NA,0,1,NA,0,1,NA
AT1G39513,0.069582395,0.993973994,NA,2.136518347,0.816878981,NA,3.302851892,0.72132902,NA
AT1G39070,-1.838672901,0.619035182,0.723524116,2.2396582,0.549226551,0.639868894,2.499060302,0.535914519,0.635611486
AT1G39515,-0.345879689,0.966348022,NA,2.136282601,0.795170977,NA,3.303500659,0.68942838,NA
AT1G39590,-0.507692618,0.777433539,0.84790583,3.551922373,0.093437164,0.153758558,4.702335191,0.030406437,0.060399203
AT1G39670,-2.496616149,0.786794809,NA,1.126324415,0.903343496,NA,3.981946373,0.666417741,NA
AT1G39750,-1.623437878,0.861041507,NA,0,1,NA,0,1,NA
AT1G39830,-0.702186506,0.813451559,0.873417057,2.004618942,0.514566291,0.60960938,4.695651437,0.143526397,0.225636389
AT1G39910,-1.041425796,0.887242626,NA,3.01974826,0.683826132,NA,2.499010884,0.738077608,NA
AT1G39990,-2.946211218,0.749372347,NA,2.639589835,0.775050838,NA,2.498973176,0.787594235,NA
AT1G40070,-0.484471287,0.944059336,NA,2.610702204,0.70798612,NA,3.491539136,0.617430199,NA
AT1G40071,-2.347248398,0.799340326,NA,1.126324415,0.903343496,NA,2.498973176,0.787594235,NA
AT1G40072,-2.946216941,0.748899692,NA,3.041549909,0.741208054,NA,3.441926471,0.709413694,NA
AT1G40073,-1.041428307,0.886003559,NA,3.059252634,0.676601075,NA,2.49901235,0.735385045,0.803784123
AT1G40074,-0.729364134,0.807692795,0.869140931,1.863474092,0.547149396,0.638222153,4.695628498,0.145440716,0.228173822
AT1G40075,-1.647057177,0.360997163,0.481234034,2.597780668,0.174289831,0.259149077,4.995848041,0.019163953,0.040155408
AT1G40077,-0.824748846,0.626780101,0.730211587,4.05706532,0.044938276,0.081879116,4.732233252,0.023670807,0.048440371
AT1G40078,-0.35030497,0.969706207,NA,2.663160883,0.773082638,NA,5.137713,0.577227813,NA
AT1G40079,-0.661678757,0.943122342,NA,0,1,NA,2.498973176,0.787594235,NA
AT1G40080,0,1,NA,0.164569091,0.985843383,NA,0,1,NA
AT1G40081,-1.729769778,0.850730347,NA,1.126324415,0.903343496,NA,0,1,NA
AT1G40083,-3.331307471,0.718254665,NA,0,1,NA,0,1,NA
AT1G40084,-1.202047099,0.896788887,NA,0,1,NA,0,1,NA
AT1G40085,1.229923291,0.893971131,NA,0,1,NA,4.468636881,0.628158202,NA
AT1G40086,-1.623434081,0.861041829,NA,1.126324415,0.903343496,NA,2.498973176,0.787594235,NA
AT1G40087,0.64358193,0.944485884,NA,2.001593574,0.828813619,NA,4.394910989,0.633890836,NA
AT1G40089,-2.625833428,0.46336694,NA,0.07342626,0.983708016,NA,3.480136174,0.339735863,NA
AT1G40091,-0.355293764,0.943503562,NA,3.896417066,0.445443209,NA,2.985034216,0.562023844,0.65899224
AT1G40090,-1.623437878,0.861041507,NA,0,1,NA,0,1,NA
AT1G40093,0.456054272,0.862163648,0.908793485,4.161865898,0.13826442,0.214053866,5.866539189,0.041211966,0.078710164
AT1G40095,-0.177228533,0.709044253,0.79582032,3.068326265,1.19E-06,5.05E-06,6.016618413,2.13E-06,8.53E-06
AT1G40097,-0.669408291,0.840138619,NA,1.615915423,0.640714454,0.718379327,4.731580454,0.176199069,0.267478004
AT1G40099,-2.163812429,0.815367218,NA,1.075934149,0.907457432,NA,3.441930407,0.709949435,NA
AT1G40101,-0.551823265,0.614590932,0.719933047,2.760692729,0.027177941,0.052948756,4.961477386,0.002485079,0.006332525
AT1G40103,0.707673845,0.938753095,NA,1.126324415,0.903343496,NA,3.302851892,0.72132902,NA
AT1G40104,-0.316561371,0.789315245,0.856905721,3.63908245,0.003890756,0.009385589,7.220344327,1.67E-05,5.99E-05
AT1G40105,-1.100584446,0.645603509,NA,1.858129685,0.432023101,0.532092775,2.499070931,0.370686001,0.482339247
AT1G40107,-0.449349881,0.874157383,0.916620822,3.654668193,0.225157073,0.319784379,5.014993838,0.099072557,0.166259138
AT1G40109,-1.940006924,0.404551336,0.526029295,1.70507952,0.462576917,0.561152506,4.016368169,0.115490503,0.188789812
AT1G40113,0.445459008,0.822918297,0.880425002,3.767408235,0.091165559,0.150650622,4.394756791,0.057077664,0.103959648
AT1G40115,-2.555741604,0.782483048,NA,1.126324415,0.903343496,NA,0,1,NA
AT1G40117,-1.507140296,0.186847139,0.283187912,2.92578568,0.018966798,0.038645056,5.945483634,0.000240253,0.000733803
AT1G40119,0.19824994,0.931669175,NA,3.906158474,0.117464106,0.186648596,3.428311822,0.198167638,0.29418767
AT1G40121,-1.046828787,0.547051805,0.659935927,3.031836389,0.137210682,0.212659235,4.706106247,0.023481829,0.048103739
AT1G40123,-0.755693741,0.831644915,0.887259319,1.531344541,0.674381363,0.747061938,2.499061953,0.518460886,0.620178232
AT1G40125,0.105050097,0.990948288,NA,2.581337117,0.779921054,NA,0,1,NA
AT1G40127,-0.294771329,0.897651356,0.933430034,5.301923731,0.034831709,0.065681639,5.009876806,0.050196075,0.093096071
AT1G40129,-1.448970721,0.87441045,NA,3.037922986,0.741991993,NA,3.40103585,0.7132887,NA
AT1G40131,-0.241017016,0.929259057,0.954727554,3.413760697,0.239968192,0.336367442,3.431973117,0.259166701,0.364446964
AT1G40133,1.306467579,0.887712537,NA,2.955988404,0.748755534,NA,3.40103585,0.7132887,NA
AT1G40135,-1.240952366,0.779719997,NA,-0.202168549,0.96391158,NA,3.438500926,0.457897182,0.564902079
AT1G40137,0.259369492,0.956908489,NA,3.639191263,0.4551804,0.554173493,4.441046602,0.363764509,0.47557376
AT1G40139,-0.343990948,0.932772067,NA,3.352176507,0.426081038,0.526472568,3.351172332,0.434628757,0.543382583
AT1G40141,1.03259376,0.911219355,NA,1.126324415,0.903343496,NA,0,1,NA
AT1G40143,0.170025648,0.971289533,NA,4.532976784,0.344876585,0.44707053,4.446715962,0.357450081,0.469427982
AT1G40136,0.027962247,0.991577643,0.994617839,3.275985539,0.249501254,0.346809281,3.431481679,0.249618899,0.353641771
AT1G40130,1.306467579,0.887712537,NA,2.955988404,0.748755534,NA,3.40103585,0.7132887,NA
AT1G40124,-0.652518437,0.940863069,NA,0.058496664,0.994724222,NA,2.498981903,0.77864274,NA
AT1G40118,-1.749576189,0.849425115,NA,-0.418132136,0.96381025,NA,2.498973176,0.787594235,NA
AT1G40112,-0.155004809,0.973965659,NA,3.355327048,0.488893624,0.586311042,4.008427081,0.411008221,0.520596536
AT1G40106,-0.348775906,0.931163027,NA,3.596352083,0.388933343,0.49092199,3.351254112,0.43147567,0.540474259
AT1G40100,1.979238747,0.830261498,NA,0,1,NA,0,1,NA
AT1G40150,1.979238747,0.830261498,NA,2.525920667,0.784562002,NA,2.498973176,0.787594235,NA
AT1G40230,-0.96368549,0.916630171,NA,0.164569091,0.985843383,NA,0,1,NA
AT1G40310,-1.556652613,0.816418874,NA,2.408068584,0.723177613,0.786611425,0,1,1
AT1G40076,0,1,NA,0.164569091,0.985843383,NA,0,1,NA
AT1G40390,0.356065364,0.969300921,NA,0.995126214,0.91440958,NA,2.498973176,0.787594235,NA
AT1G40470,-1.156907518,0.85232175,NA,2.538073863,0.684066673,NA,4.421604935,0.481578761,0.586179006
AT1G40630,0.158900502,0.974064892,NA,4.039614728,0.417763578,0.518391012,4.682382204,0.349243252,0.461188023
AT1G41115,-0.192145229,0.962887411,0.9766507,3.741490871,0.379223163,0.481215493,4.75721955,0.266728873,0.373021773
AT1G41600,0.467269,0.757092007,0.832434409,3.586321091,0.042068048,0.077453893,4.970391932,0.009054196,0.020626112
AT1G41630,0.917394031,0.637422972,0.73921932,3.488960885,0.102475907,0.166199291,5.252553015,0.018731298,0.03935673
AT1G41650,-3.139058007,0.733493585,NA,3.320128795,0.718852574,NA,2.498973176,0.787594235,NA
AT1G41660,0.71486623,0.67065025,0.766159894,3.483262057,0.068269407,0.118030737,4.413521532,0.03357553,0.065872403
AT1G41680,-1.082720408,0.906336078,NA,1.193012224,0.897392389,NA,3.441930407,0.709949435,NA
AT1G41690,0.830034369,0.928248913,NA,0.07661341,0.993381837,NA,2.498973176,0.787594235,NA
AT1G41700,-0.517910843,0.865099436,NA,1.244237678,0.700213754,0.768626462,4.394947359,0.178721344,0.270545544
AT1G41723,-2.369552147,0.797463741,NA,1.126324415,0.903343496,NA,0,1,NA
AT1G41710,-0.885508125,0.670276546,0.766034682,1.621592763,0.461791488,0.560382977,4.377663872,0.06969993,0.123522841
AT1G41720,-1.093027293,0.811911717,NA,2.193803833,0.636964474,NA,3.389473392,0.475732885,0.581161205
AT1G41726,-0.69564979,0.940203896,NA,1.126324415,0.903343496,NA,0,1,NA
AT1G41730,-0.536042893,0.953445876,NA,0.164569091,0.985843383,NA,0,1,NA
AT1G41740,-0.687964645,0.873212855,NA,0.016770568,0.996927135,NA,3.955156568,0.377313244,0.488764295
AT1G41743,-0.795059903,0.823996603,NA,2.359638818,0.528811539,0.62217069,3.352676917,0.381638357,0.492881612
AT1G41746,-0.100277296,0.985382495,0.991285109,3.439485674,0.537247565,0.629402591,3.489338338,0.536405992,0.63600245
AT1G41750,0.288711087,0.975167107,NA,2.581338856,0.779920909,NA,2.498973176,0.787594235,NA
AT1G41755,-1.454247677,0.663059815,0.759855327,4.516836833,0.189525214,0.277781942,4.419739574,0.205359348,0.302779804
AT1G41760,-1.32722552,0.885417637,NA,1.126324415,0.903343496,NA,2.498973176,0.787594235,NA
AT1G41770,-0.661682554,0.943122016,NA,2.080113396,0.82215116,NA,0,1,NA
AT1G41775,0.387551263,0.868247947,0.912856178,1.712345122,0.520134593,0.614663628,4.394855989,0.095415789,0.161184425
AT1G41790,-2.002190725,0.770187208,NA,2.912614828,0.67139664,NA,2.499019903,0.72007511,0.791832205
AT1G41795,-0.909270924,0.921011947,NA,2.586332415,0.779503088,NA,4.641159252,0.614834837,0.704070766
AT1G41797,-2.376134185,0.721009347,NA,0.80526095,0.902686189,NA,4.374024428,0.510525574,NA
AT1G41798,-0.69564979,0.940203896,NA,1.126324415,0.903343496,NA,0,1,NA
AT1G41803,-0.474617459,0.83583104,0.890275214,3.953411438,0.112246176,0.179510916,4.412637821,0.093660713,0.158667789
AT1G41810,-0.661678757,0.943122342,NA,1.701405559,0.853845481,NA,0,1,NA
AT1G41820,-1.225701908,0.893783394,NA,3.651765071,0.691991353,NA,2.498973176,0.787594235,NA
AT1G41825,-0.452012691,0.915743205,NA,2.116233137,0.623953184,0.704974781,4.348155051,0.324452755,0.435803686
AT1G41827,-3.593183269,0.69698847,NA,1.126324415,0.903343496,NA,0,1,NA
AT1G41830,-0.806375774,8.54E-10,5.33E-09,-0.372437083,0.001815482,0.004697276,-1.459974717,1.49E-29,2.52E-28
AT1G41835,-0.022378764,0.996195901,NA,3.495015542,0.463325623,NA,0.575480403,0.906304511,NA
AT1G41840,0.458916972,0.822996797,0.880425002,0.682393068,0.750141135,0.807724647,4.394791749,0.067518046,0.120135919
AT1G41850,0.143812618,0.972344413,NA,3.934631427,0.357853545,0.459488128,4.420706892,0.304658763,0.414909038
AT1G41855,-1.601254963,0.762610464,NA,2.998152574,0.572836324,NA,4.736985128,0.371966351,NA
AT1G41860,-2.53596672,0.783498537,NA,2.119026475,0.818358252,NA,2.498973176,0.787594235,NA
AT1G41870,-0.210381134,0.977875882,NA,2.118717562,0.781712715,NA,2.499006502,0.745656077,NA
AT1G41880,0.882619916,5.75E-08,2.95E-07,0.665060867,2.86E-07,1.32E-06,1.407145836,5.17E-28,8.24E-27
AT1G41890,-0.660669576,0.87054655,NA,1.977037083,0.630036208,NA,3.40015453,0.419971356,NA
AT1G41893,-0.485543812,0.953709052,NA,2.610742384,0.756683929,NA,3.346718608,0.692021205,NA
AT1G41896,1.446184112,0.798740321,NA,2.058005283,0.721471593,NA,2.499037945,0.669103684,0.749960982
AT1G41900,-1.109950926,0.835246894,NA,3.019794819,0.571037226,NA,3.400619624,0.527217503,NA
