Gene.ID,WTD_N_F.FC,WTD_N_F.p,WTD_N_F.q,WTDL_N_F.FC,WTDL_N_F.p,WTDL_N_F.q,WTWL_N_F.FC,WTWL_N_F.p,WTWL_N_F.q
atU5-12,1.045289423,0.003380233,0.008562237,2.03753141,1.59E-08,8.56E-08,4.853020295,3.33E-37,7.71E-36
atU5-13,-0.023754089,0.95938683,0.974404182,1.232892434,0.012246514,0.026209073,4.483528042,1.58E-15,1.34E-14
atU5-2,0.627311429,0.158514622,0.247346444,1.807069028,5.07E-05,0.000171833,4.209258173,1.06E-20,1.20E-19
atU5-3,0.284241373,0.436137616,0.556234441,1.172474988,0.001318828,0.003517418,4.080841747,5.98E-29,9.95E-28
atU5-4,0.287953614,0.396412297,0.517891181,1.269361745,0.000185938,0.000576302,3.993690256,8.57E-32,1.60E-30
atU5-5,0.234677446,0.466809585,0.585481716,1.157136921,0.000334077,0.000994199,3.992929665,4.52E-35,9.58E-34
atU5-6,0.260338194,0.474089108,0.592605504,1.102431746,0.002440564,0.006150922,4.124463675,1.15E-29,1.95E-28
atU5-7,-0.050842785,0.879743643,0.920486049,1.162299609,0.000672335,0.001897859,3.741944187,2.44E-24,3.27E-23
atU5-8,-1.190167181,0.00024839,0.000776903,-0.01922484,0.953466323,0.965401849,3.563350257,2.20E-22,2.69E-21
atU5-9,-0.720144495,0.019009606,0.04007624,0.699566881,0.024373819,0.048154149,4.245776538,6.67E-35,1.40E-33
atU6.1,-3.020928385,1.32E-14,1.21E-13,-1.920622745,9.74E-07,4.19E-06,2.378118264,1.50E-09,8.29E-09
atU6.26,-3.013908924,2.28E-14,2.05E-13,-1.922944195,1.12E-06,4.76E-06,2.365179595,2.36E-09,1.28E-08
atU6.29,-2.919263656,2.60E-12,2.03E-11,-1.873379267,7.19E-06,2.74E-05,2.123100171,4.23E-07,1.84E-06
atU6-2,-3.024222135,1.36E-14,1.24E-13,-1.928261293,9.18E-07,3.96E-06,2.364821188,1.95E-09,1.07E-08
atU6-3,-3.044692629,1.02E-14,9.43E-14,-1.928254552,9.64E-07,4.15E-06,2.383610888,1.59E-09,8.76E-09
atU6-4,-3.101480029,5.92E-16,5.98E-15,-1.988256014,2.16E-07,1.01E-06,2.522133314,5.99E-11,3.72E-10
atU6-5,0.964628092,0.002953047,0.007561516,1.151514385,0.000192323,0.000594817,3.762729248,8.50E-27,1.28E-25
atU6-6,2.779843756,1.98E-18,2.32E-17,2.712831283,2.88E-19,4.03E-18,4.96176626,1.97E-38,4.74E-37
atU6-7,0,1,NA,1.126324415,0.903343496,NA,0,1,NA
atU6-8p,-2.608670027,0.701397335,NA,0.113331568,0.98655801,NA,0.568722617,0.933360558,NA
atU6atac,-2.859091731,8.94E-09,5.02E-08,-1.197760064,0.016362811,0.033911559,4.483869375,5.83E-17,5.40E-16
atU6atac2,4.436658138,8.64E-05,0.000290488,4.744938137,2.54E-05,8.93E-05,7.047240011,4.59E-08,2.20E-07
AT1G01010,1.469265459,9.91E-07,4.36E-06,1.134351851,1.53E-05,5.57E-05,0.042118275,0.919231785,0.948646374
AT1G01020,-1.049133595,3.80E-07,1.76E-06,-0.352368169,0.049321064,0.08876219,0.320550548,0.088029077,0.150636334
AT1G03987,-1.353900111,0.883349334,NA,2.909296414,0.752618589,NA,0,1,NA
AT1G01030,-0.396204094,0.464168333,0.583039028,-0.575422124,0.199258048,0.289493367,-0.120577792,0.818949742,0.870866154
AT1G01040,-0.653555462,4.98E-05,0.000173961,-0.420878354,0.002850488,0.007089767,-1.399177753,2.83E-14,2.23E-13
AT1G03993,-2.163812429,0.815367218,NA,0.164569091,0.985843383,NA,4.703641072,0.610041615,NA
AT1G01050,1.335832714,2.67E-28,5.24E-27,0.519605106,3.72E-06,1.47E-05,1.261721933,3.34E-27,5.13E-26
AT1G03997,0.288711087,0.975167107,NA,0,1,NA,0,1,NA
AT1G01060,-0.486621007,0.003761044,0.009428248,0.430122301,0.029965466,0.057597228,0.173398777,0.267896884,0.374388788
AT1G01070,1.051754391,0.000318227,0.000976546,0.687837273,0.015161624,0.031680057,-0.279230138,0.297006263,0.406641233
AT1G04003,0,1,NA,0,1,NA,0,1,NA
AT1G01080,1.745059412,4.19E-15,4.00E-14,1.0740234,4.69E-13,3.99E-12,1.334109434,1.16E-20,1.31E-19
AT1G01090,-0.043125972,0.771674503,0.843571099,-0.496619588,0.000545609,0.00156005,-0.089593164,0.545672184,0.644074389
AT1G01100,1.274631633,2.88E-30,6.23E-29,0.479891938,6.10E-06,2.35E-05,1.580696388,2.87E-50,1.02E-48
AT1G01110,0.137949658,0.667861736,0.763864018,0.224809027,0.566384032,0.654687696,0.219303983,0.604452868,0.695403914
AT1G01120,-0.379026731,0.00022886,0.00072038,-0.709385384,6.98E-13,5.84E-12,-1.811326108,9.88E-33,1.92E-31
