Gene.ID,WTD_SM_P.FC,WTD_SM_P.p,WTD_SM_P.q,WTDL_SM_P.FC,WTDL_SM_P.p,WTDL_SM_P.q,WTWL_SM_P.FC,WTWL_SM_P.p,WTWL_SM_P.q
AT1G57730,0,1,NA,0,1,NA,0,1,NA
AT1G57740,0,1,NA,0,1,NA,0,1,NA
AT1G57750,4.846348104,0.057511419,0.194890091,2.211870128,0.386004142,NA,0,1,NA
AT1G57760,0,1,NA,0,1,NA,0,1,NA
AT1G57765,-0.22444616,0.674175401,0.895806963,0.79397533,0.007459039,0.034077014,1.019765174,0.000679306,0.003759888
AT1G57770,-0.334693674,0.690934448,0.907500754,-0.094673373,0.687483644,0.874349795,-0.032539161,0.844370821,0.950781395
AT1G57775,0,1,NA,0,1,NA,0,1,NA
AT1G57777,0,1,NA,0,1,NA,0,1,NA
AT1G57780,0,1,NA,0,1,NA,0,1,NA
AT1G57790,-0.476632367,0.646678583,0.875588458,0.32707874,0.547224732,0.768573718,0.155887137,0.751341781,0.887714714
AT1G08177,0,1,NA,0,1,NA,0,1,NA
AT1G57800,2.766028536,0.246111012,0.496849149,2.211870014,0.389725125,0.627906944,2.177421029,0.397151209,0.601491196
AT1G57810,0,1,NA,0,1,NA,0,1,NA
AT1G57820,-0.894948952,0.170142789,0.393964472,-0.487435962,0.081274664,0.215098749,-1.20877385,1.13E-06,1.22E-05
AT1G57830,0,1,NA,0,1,NA,0,1,NA
AT1G08183,0,1,NA,0,1,NA,0,1,NA
AT1G57835,0,1,NA,0,1,NA,0,1,NA
AT1G57840,5.808139644,0.030502457,NA,0,1,NA,4.101006839,0.12661062,NA
AT1G57850,4.846282417,0.403242762,NA,0,1,NA,0,1,NA
AT1G57860,-0.974600322,0.010913585,0.059750829,-0.266208307,0.195609409,0.402131535,-0.309936341,0.055250839,0.147052512
AT1G57870,-0.192133629,0.599234777,0.840771423,0.423927897,0.039249394,0.125330395,-0.038239826,0.868057686,0.961502655
AT1G57906,0,1,NA,0,1,NA,0,1,NA
AT1G57943,2.562086601,0.350297238,0.614516076,0,1,NA,0,1,NA
AT1G57980,0.109490597,0.928110598,1,1.437942135,0.015699973,0.061213129,1.277201689,0.015724108,0.05402977
AT1G57990,-0.511260722,0.081445122,0.246223227,-0.392421677,0.137908733,0.317845463,0.223925485,0.360401856,0.563484159
AT1G58007,1.507766773,0.262159982,0.515774204,-0.645095249,0.638245963,0.837746838,1.55451556,0.220351626,0.404901088
AT1G58010,0,1,NA,0,1,NA,0,1,NA
AT1G58020,4.846343613,0.093779108,0.269364343,0,1,1,0,1,1
AT1G58025,-0.204223211,0.648338598,0.876983108,-0.635591685,0.038955966,0.124577469,-0.207790078,0.379914241,0.583689093
AT1G58030,1.976526543,9.02E-39,1.84E-36,0.688303691,1.82E-05,0.000198107,1.107086928,1.35E-08,2.09E-07
AT1G58037,-0.423274064,0.738518415,0.938397817,2.086966135,0.033923654,0.112222033,-1.295777614,0.324787224,0.525883928
AT1G08193,0,1,NA,0,1,NA,0,1,NA
AT1G58040,0,1,NA,0,1,NA,0,1,NA
AT1G58050,0,1,1,0,1,1,0,1,1
AT1G58055,0,1,NA,0,1,NA,4.100845219,0.658382378,NA
AT1G58060,-0.041205036,0.903216309,1,-0.266329883,0.268099242,0.491689113,-0.393507886,0.048786688,0.134026166
AT1G58070,-0.89708128,0.220587112,0.463055673,0.36988637,0.257584239,0.479055338,-0.613570899,0.228612774,0.414067065
AT1G58080,-0.695990423,0.029250474,0.122851071,-1.106540002,1.56E-11,5.02E-10,-0.80750818,2.52E-14,8.80E-13
AT1G58090,0,1,NA,0,1,NA,0,1,NA
AT1G58100,0.442835014,0.096508857,0.274293109,0.392733819,0.037136694,0.12024556,0.294744261,0.118721398,0.261508378
AT1G58110,0.402726295,0.170059131,0.393838976,0.066801512,0.737616997,0.908843716,0.459642139,0.00819044,0.031628335
AT1G58120,0,1,1,0,1,NA,1.202425059,0.788420241,NA
AT1G58130,0,1,NA,0,1,NA,2.177334571,0.814397116,NA
AT1G58140,3.985635873,0.016169472,0.079985786,0,1,1,0,1,1
AT1G58150,1.764856815,0.040561467,0.153965578,1.063447297,0.063442358,0.179248142,2.929582254,4.31E-08,6.15E-07
AT1G58160,1.53511117,0.146207974,0.357765659,1.399965858,0.145592087,0.329449752,0.803398871,0.384984361,0.588851339
AT1G58170,0.598447618,0.56642989,0.814096434,-1.744321729,0.090547964,0.232287753,0.288047431,0.654977228,0.820595155
AT1G58180,0.402370876,0.192877372,0.426160012,0.123375187,0.68881572,0.875344641,0.46999949,0.067711593,0.171239148
AT1G58190,-0.243919176,0.658144921,0.884155826,-0.415464908,0.340941901,0.576400085,0.343889847,0.530169472,0.721057651
AT1G58200,-0.178317406,0.610644662,0.848900337,0.044580295,0.83090843,0.969091049,0.019742385,0.924504997,0.997906305
AT1G58210,-0.241887252,0.817094902,0.9873307,-0.412207235,0.521987619,0.747388581,-0.794948034,0.25025714,0.440303257
AT1G58215,0,1,1,0,1,1,0,1,1
AT1G58220,0.233901038,0.521671215,0.775617154,0.452342158,0.053686736,0.158623336,-0.543052378,0.052458851,0.141628457
AT1G58223,0,1,NA,0,1,NA,0,1,NA
AT1G58225,0,1,NA,0,1,NA,2.232205405,0.570093841,NA
AT1G58230,-0.553096244,0.018191591,0.087684976,-0.313093058,0.044378862,0.137525883,-0.815774005,9.10E-07,1.01E-05
AT1G58235,2.586255726,2.22E-15,1.09E-13,2.658144107,2.30E-17,1.52E-15,2.807605696,2.69E-18,1.47E-16
AT1G08207,0,1,NA,0,1,NA,0,1,NA
AT1G58242,0,1,NA,0,1,NA,0,1,NA
AT1G58245,0,1,NA,0,1,NA,0,1,NA
AT1G58248,0,1,NA,0,1,NA,0,1,NA
AT1G58250,-0.602916169,0.005090601,0.032565115,-0.419278959,0.003382611,0.017821142,-0.583540331,0.00063224,0.003546381
AT1G58260,0,1,NA,0,1,NA,0,1,NA
AT1G58265,0,1,NA,0,1,NA,0,1,NA
AT1G58270,-0.915999486,5.80E-06,8.87E-05,-0.759192649,1.14E-08,2.41E-07,-0.264637874,0.10433899,0.237964238
AT1G08213,4.321740481,0.004096336,0.027614904,4.038235505,0.011924462,0.049454912,0.285070475,0.8441839,0.950775819
AT1G08217,1.904472023,0.169418774,0.392968663,4.135464393,0.018029335,0.068204984,4.133935802,0.002296666,0.0108279
AT1G08223,0,1,NA,0,1,NA,0,1,NA
AT1G08227,0,1,NA,0,1,NA,0,1,NA
AT1G58280,-0.80279455,0.500181788,0.757397093,0.48400884,0.451484714,0.684111365,-0.499909449,0.198780462,0.377872347
AT1G58290,1.493702357,1.89E-21,1.53E-19,-0.134352193,0.168478191,0.364303357,0.579737206,1.72E-09,3.03E-08
AT1G58300,4.846303718,0.330737042,NA,1.586917198,0.749263293,NA,0.268975406,0.956174366,NA
AT1G58310,5.055239354,0.585185252,NA,2.211782188,0.811515503,NA,0,1,NA
AT1G58320,0.885582769,0.486394984,0.744575625,0.276245248,0.834665741,0.971411778,1.225867211,0.16108243,0.324865755
AT1G58330,0,1,NA,0,1,NA,2.177334571,0.814397116,NA
AT1G08237,0,1,NA,0,1,NA,0,1,NA
AT1G58340,-1.084150963,0.292065711,0.55043074,-0.048936611,0.866087236,0.988698218,-0.124993881,0.818621226,0.937536327
AT1G58350,0.43550349,0.108691244,0.294883592,0.675829532,0.001507553,0.009164276,0.289499412,0.139792816,0.294277195
AT1G58360,-0.727132523,0.028205203,0.119607061,-0.577300904,0.006597757,0.030921693,-0.209436473,0.445522603,0.646213293
AT1G58370,-0.819253721,0.136603659,0.342693314,-0.380094134,0.27605507,0.501196632,-0.502181586,0.081270921,0.196493918
AT1G58380,-1.337297454,0.011473833,0.061937387,-1.075378834,0.000100151,0.000880212,-1.157949616,2.20E-08,3.29E-07
AT1G58390,0,1,1,0,1,1,1.30182847,0.476399197,0.674296827
AT1G58400,0.054881671,0.905650754,1,0.282798566,0.404751117,0.640940746,0.19344854,0.61700702,0.792992478
AT1G58410,0.353885229,0.459830279,0.720530362,-0.685420675,0.235156396,0.452580394,-0.080909982,0.916255848,0.992028158
AT1G58420,-0.095640293,0.939700509,1,0.481053393,0.672983255,0.864381848,-0.744897325,0.563928509,0.750585811
AT1G58430,0,1,NA,0,1,NA,0,1,NA
AT1G58440,-1.102644719,0.001416386,0.011573931,-0.447864976,0.02194469,0.079632482,0.319385177,0.110241468,0.24763256
AT1G58450,0,1,NA,0,1,NA,0,1,NA
AT1G58460,3.381267553,0.023538468,0.105259746,0.142167535,0.845917491,0.977276199,1.245324175,0.221677491,0.406878094
AT1G58470,-0.011381139,0.98935191,1,-0.806524222,0.237630258,0.455423894,0.004938796,0.99336735,1
AT1G58525,0,1,NA,0,1,NA,0,1,NA
AT1G58520,0.082968396,0.844059674,1,0.427358132,0.047490152,0.144815931,0.245644401,0.377593691,0.58135476
AT1G58590,1.480397326,0.086514061,0.25579232,1.827887881,0.001031633,0.006683659,3.43971921,3.35E-19,2.04E-17
AT1G58602,0.01167784,0.975985714,1,0.145674156,0.517598366,0.743715516,0.50064211,0.006153755,0.02488098
AT1G58561,-0.092685833,0.940055467,1,0.017607787,0.972654394,1,0.716869032,0.052892909,0.14243809
AT1G58643,3.001702479,0.04591289,0.167153177,0.327380515,0.827051967,0.96674034,1.28861235,0.438861948,0.640584182
AT1G58684,-0.5610565,0.004533621,0.029892829,-1.02310522,3.18E-12,1.11E-10,-1.125706375,1.29E-17,6.51E-16
AT1G58725,1.969894567,0.127955281,0.329098575,0.235408306,0.647309227,0.844320754,-1.193756003,0.258954154,0.450089316
AT1G58766,0,1,1,0,1,1,4.101015033,0.022100638,0.070910812
AT1G58807,0.291888534,0.240969775,0.489835694,0.522870829,0.000196873,0.001594162,0.332694107,0.013725857,0.048368342
AT1G58808,0,1,1,0,1,1,4.100993229,0.270381669,0.463291875
AT1G58848,0.152328241,0.532508874,0.785325214,0.286646993,0.048865279,0.148136164,0.104163137,0.480066332,0.677598684
AT1G58889,1.267716361,0.341248483,0.605358327,4.13546435,0.018422716,0.069448792,1.288096787,0.436093316,0.637915797
AT1G58936,3.004599881,0.04771087,0.171829256,0.326004201,0.829269358,0.967986859,2.177424795,0.220163307,0.404639696
AT1G58983,-0.561573722,0.004439895,0.029368522,-1.02957574,2.62E-12,9.33E-11,-1.129984021,1.35E-17,6.73E-16
AT1G59030,1.969918362,0.128286817,0.3295298,0.351088188,0.481451454,0.70958598,-1.193432445,0.259679626,0.450860199
AT1G59077,0,1,1,0,1,1,4.101015033,0.022097959,0.070910812
AT1G59124,0.235227807,0.33384971,0.597265954,0.48131132,0.000473082,0.003421593,0.349834824,0.008155412,0.031532968
AT1G59171,0,1,1,0,1,NA,4.100967666,0.42399658,NA
AT1G59218,0.286682132,0.228625134,0.473489558,0.333456372,0.020092541,0.074313788,0.057873562,0.696847119,0.850294748
AT1G59265,1.322721426,0.32402999,0.586487262,4.135464306,0.018827778,0.070652549,1.288410708,0.437774501,0.639340869
AT1G59312,3.004040312,0.047355249,0.170988519,0.326268254,0.828839987,0.967620174,1.289075924,0.441384732,0.642844677
AT1G59359,-0.56313486,0.004887284,0.031670216,-1.019892685,6.38E-12,2.13E-10,-1.124657158,3.34E-17,1.60E-15
AT1G59406,1.969921046,0.128324385,0.3295298,0.256030368,0.621342624,0.826281056,-1.15696746,0.274874502,0.468360832
AT1G59453,0,1,1,0,1,1,4.101014979,0.022652739,0.072292764
AT1G59460,0,1,NA,0,1,NA,0,1,NA
AT1G59470,0,1,NA,0,1,NA,0,1,NA
AT1G59500,0,1,NA,0,1,NA,0,1,NA
AT1G08253,0,1,NA,0,1,NA,0,1,NA
AT1G59510,1.633682385,0.044356675,0.163400996,-0.228016366,0.83616961,0.972391683,1.503831804,0.026997113,0.083251897
AT1G59520,-1.210085678,0.042760871,0.159167118,0.236710188,0.45067614,0.68349042,-0.528997016,0.109624859,0.246565051
AT1G59530,3.350233869,0.325249091,NA,1.565014263,0.652823873,NA,0.707783907,0.835406195,NA
AT1G59540,-0.740121433,0.378311353,0.642642286,-0.36098494,0.393643426,0.630966629,-0.74627853,0.032405641,0.096482019
AT1G59550,0,1,NA,0,1,NA,0,1,NA
AT1G59560,1.423710229,0.038971625,0.149990548,0.490784314,0.426454267,0.660445681,0.639910323,0.230357425,0.416177377
AT1G59570,4.846342293,0.10442928,0.287754364,0,1,NA,1.215351911,0.677051243,NA
AT1G59580,0.099175709,0.698306871,0.9120527,0.211520313,0.332887776,0.566568203,0.677394986,0.000199304,0.001277943
AT1G59590,-0.434907194,0.402925105,0.666870929,0.462083585,0.206011434,0.414872014,1.088558469,0.003989023,0.017266437
AT1G59600,0.929515824,0.049319908,0.176009927,-0.116012048,0.741645862,0.911641718,-0.57083248,0.068360685,0.172523292
AT1G59610,-0.110340881,0.49820166,0.755811268,0.02117877,0.849823502,0.979541537,-0.591881699,1.05E-06,1.14E-05
AT1G08257,0,1,NA,0,1,NA,0,1,NA
AT1G59620,1.710644509,0.004800617,0.031268015,0.867544525,0.061227336,0.174694509,1.111393049,0.00649721,0.026014331
AT1G59630,0,1,NA,0,1,NA,0,1,NA
AT1G59640,-1.042259427,0.385200933,0.649745591,-0.403153158,0.650894184,0.847066972,-0.572010792,0.594650175,0.775121361
AT1G59650,-0.147542525,0.69629545,0.910566381,0.657072771,0.001370897,0.008466359,0.975422505,4.38E-06,4.19E-05
AT1G59660,-2.103423049,0.07586665,0.234730138,0.096794847,0.836915096,0.972585145,-1.983704885,0.007155992,0.028232
AT1G59670,0,1,NA,0,1,NA,0,1,NA
AT1G59675,0,1,NA,0,1,NA,0,1,NA
AT1G59680,0,1,NA,0,1,NA,0,1,NA
AT1G59690,0,1,NA,0,1,NA,0,1,NA
AT1G59700,-1.06267845,0.301758672,0.562395206,-0.497170161,0.245350301,0.46460343,0.583975659,0.014920547,0.05177871
AT1G59710,-0.016595011,0.968621013,1,0.26433334,0.277235517,0.502542988,0.01238478,0.962615465,1
AT1G59720,0.430737136,0.471622654,0.731849965,0.732364763,0.024475095,0.086936283,0.583093321,0.077269064,0.189235436
AT1G59722,0,1,NA,0,1,NA,0,1,NA
AT1G59723,0,1,NA,0,1,NA,0,1,NA
AT1G59724,0,1,NA,0,1,NA,0,1,NA
AT1G59725,1.97273736,0.175667941,0.401198747,0.803053321,0.617127761,0.823127239,-1.364436623,0.327721905,0.52891703
AT1G59730,0.345468633,0.79272336,0.972179846,-0.327770121,0.807684263,0.95695405,0.767974583,0.408656022,0.612258628
AT1G59740,1.944951492,0.009552513,0.053724346,-0.571802497,0.317862789,0.550026207,0.901367271,0.031712878,0.094824069
AT1G59750,-0.415141898,0.168606781,0.391696889,0.295589897,0.092942082,0.237382539,0.164655824,0.286908456,0.481838075
AT1G59760,0.362064361,0.181118673,0.408414436,0.171384985,0.382025929,0.619820399,-0.163242792,0.363512552,0.566568863
AT1G59770,0,1,NA,0,1,NA,0,1,NA
AT1G59780,0.413689731,0.628500526,0.863708351,-0.667382258,0.524359508,0.74942872,0.384229145,0.522965138,0.714602932
AT1G59790,0,1,NA,0,1,NA,0,1,NA
AT1G59800,0,1,NA,0,1,NA,0,1,NA
AT1G08263,0,1,NA,0,1,NA,0,1,NA
AT1G59810,0,1,NA,0,1,NA,0.678864291,0.765085044,NA
AT1G59820,-0.649489142,0.037681964,0.146759313,0.140033614,0.413396224,0.649202936,0.371668692,0.050667867,0.138022542
AT1G59830,1.034053486,8.04E-05,0.000948457,0.893971135,1.22E-06,1.76E-05,0.711666375,5.67E-05,0.000421025
AT1G59833,0,1,NA,0,1,NA,0,1,NA
AT1G59835,0,1,NA,0,1,NA,0,1,NA
AT1G59840,0.574515644,0.220280027,0.462747592,-0.003909905,0.988874163,1,0.082313871,0.700243865,0.853314092
AT1G08267,0,1,NA,0,1,NA,0,1,NA
AT1G59850,-1.018006797,0.39878063,0.66350225,-1.555374689,0.205719341,0.414575546,-0.811155715,0.361428842,0.564511484
AT1G08273,1.571329125,0.231178661,0.477151757,1.22608487,0.438891162,0.672471703,0.697085555,0.671560341,0.832064183
AT1G59860,-0.557599944,0.6417615,0.872598524,-1.738083915,0.14953202,0.335368688,-0.717066455,0.576853173,0.760951855
AT1G59865,4.84630932,0.307094976,NA,0,1,NA,0.695257195,0.881685364,NA
AT1G59870,-0.630942787,7.26E-07,1.34E-05,-0.412611136,0.00018889,0.001540053,-0.488460084,5.38E-06,5.06E-05
AT1G59880,0,1,NA,0,1,NA,0,1,NA
AT1G59885,0,1,NA,0,1,NA,0,1,NA
AT1G59890,0.169950654,0.497433666,0.755117466,-0.509647134,0.007899144,0.035699201,-1.057615399,5.05E-08,7.12E-07
AT1G59900,0.685636372,7.10E-07,1.31E-05,-0.499137257,0.000441588,0.003226234,-0.081969562,0.456487337,0.655738788
AT1G59910,0.203882342,0.498616117,0.756139704,0.624478201,0.00519782,0.025439728,-0.27135597,0.28609913,0.480842681
AT1G59920,0,1,NA,0,1,NA,-0.731602586,0.936711811,NA
AT1G59930,0,1,NA,0,1,NA,-0.731495357,0.905599837,NA
AT1G59940,0.604978035,0.410105233,0.674223054,-0.75868132,0.465049135,0.69579217,-0.030157928,0.94820398,1
AT1G59950,0,1,1,2.211867236,0.464022071,NA,0,1,NA
AT1G59960,0.419670411,0.455064493,0.716214938,-0.80177196,0.162223108,0.354520892,-0.584273544,0.049737234,0.136076591
AT1G59970,-1.860287297,0.071587675,0.226459971,-0.488592923,0.267017078,0.490872598,0.562069703,0.234351652,0.420976874
AT1G08277,0,1,NA,0,1,NA,0,1,NA
AT1G08283,0.509501365,0.675588358,0.897060287,3.755104158,2.17E-06,2.95E-05,2.546953473,0.007615707,0.029795341
AT1G59980,2.311131821,1.87E-06,3.19E-05,1.777822716,0.000376325,0.002813893,1.223542295,0.004406963,0.018843407
AT1G08293,4.846355262,0.010174302,0.056543401,4.135463362,0.028315453,0.097221127,-0.309493288,0.845250508,0.950984999
AT1G59990,-0.473620596,0.390022473,0.655027064,-0.627616149,0.070345969,0.193501343,-0.520271882,0.007746501,0.030224722
AT1G60000,0.038897369,0.925462009,1,-0.120846448,0.527631666,0.752021027,-0.096476551,0.532202256,0.722815801
AT1G60010,0.477775526,0.100977615,0.281438391,0.261506109,0.309679913,0.541257663,0.373482119,0.075023933,0.185204668
AT1G60020,0,1,1,0,1,NA,0,1,NA
AT1G60030,-0.250697078,0.766744284,0.955657428,0.450564078,0.482473623,0.710469704,-1.717996056,0.164556787,0.329748303
AT1G60040,4.84620733,0.546547393,NA,0,1,NA,2.177357893,0.786470711,NA
AT1G60050,-0.894568984,0.47395478,0.733722943,1.834243825,0.050446325,0.151790895,1.108985046,0.212003847,0.393799767
AT1G08297,0,1,NA,0,1,NA,0,1,NA
AT1G60060,-0.296028322,0.479616765,0.739022213,0.099399691,0.821078167,0.963682301,0.396638332,0.478314192,0.676170011
AT1G60070,-0.465524402,0.027912538,0.118704873,-0.102992527,0.43395867,0.667716397,-0.260572829,0.029862629,0.090409897
AT1G60075,0,1,NA,0,1,NA,0,1,NA
AT1G60080,-1.529654996,0.196338023,0.430709691,-0.639314088,0.339856665,0.575087609,-0.113941883,0.765660661,0.898588625
AT1G60090,-0.711079632,0.568051175,0.815330914,3.122026674,0.033653685,0.111504667,-0.296435605,0.827855544,0.942445238
AT1G60095,0.382267016,0.657727987,0.883924262,0.938849366,0.201759285,0.40999533,-1.040907166,0.327844935,0.529045654
AT1G60110,1.233109757,0.313736564,0.576309843,1.761811703,0.023442384,0.083880674,-0.263355587,0.734095589,0.875881617
AT1G60120,0,1,NA,0,1,NA,4.100845219,0.658382378,NA
AT1G08307,0,1,NA,0,1,NA,0,1,NA
AT1G60130,2.619674175,0.028986241,0.122028833,0.67072365,0.636003397,0.835620608,0.232176945,0.867185059,0.961065754
AT1G60140,-0.260465355,0.064439823,0.210601093,-0.021506367,0.832539185,0.970185252,-0.293289661,0.036380443,0.105712399
AT1G60150,0,1,NA,0,1,NA,0,1,NA
AT1G60160,0.369077165,0.149952435,0.363409142,-0.064873801,0.762311108,0.925330271,0.455778486,0.060485606,0.157533552
AT1G60170,-0.083134103,0.741253615,0.93977419,-0.160706681,0.384337214,0.622063815,-0.640871879,0.000724295,0.003982234
AT1G60180,0,1,NA,2.211782188,0.811515503,NA,0,1,NA
AT1G60190,-0.15748997,0.682945477,0.901394286,0.536877673,0.017708454,0.067243543,0.666604552,0.302176843,0.499543127
AT1G60200,1.547847128,1.95E-10,6.05E-09,0.670291617,0.004045697,0.020638956,0.416050549,0.054788408,0.146110077
AT1G60220,0.285816367,0.406305654,0.670248906,0.232750152,0.261505217,0.483953712,0.429822122,0.022706023,0.072406029
AT1G60230,1.282531383,0.004227192,0.028227381,-0.779617342,0.061993216,0.176320551,0.303115475,0.158111996,0.320782767
AT1G60240,0,1,NA,0,1,NA,0,1,NA
AT1G60250,0,1,NA,0,1,NA,0,1,NA
AT1G60260,1.161106217,0.354725922,0.618857491,2.131734654,1.03E-05,0.000119373,1.005337253,0.017783982,0.059508222
AT1G60270,1.268823128,0.308692881,0.570309671,1.406408642,7.28E-10,1.86E-08,1.674707538,2.15E-08,3.22E-07
AT1G60280,0,1,NA,0,1,NA,4.100845219,0.658382378,NA
AT1G60290,0,1,NA,0,1,NA,0,1,NA
AT1G60300,0,1,NA,0,1,NA,0,1,NA
AT1G60310,0,1,NA,0,1,NA,0,1,NA
AT1G60320,0,1,NA,0,1,NA,0,1,NA
AT1G60330,0,1,NA,0,1,NA,0,1,NA
AT1G60340,4.846316186,0.274664928,NA,2.21185556,0.618087452,NA,2.177406801,0.62356944,NA
AT1G60350,0,1,NA,0,1,NA,0,1,NA
AT1G60360,-0.860486499,0.478790461,0.738174407,0.90882639,0.270430439,0.494297865,0.711683954,0.446899363,0.647428379
AT1G08313,0,1,NA,0,1,NA,0,1,NA
AT1G60370,0,1,NA,0,1,NA,0,1,NA
AT1G60380,0,1,NA,0,1,NA,0,1,NA
AT1G60390,-0.991512689,0.336270011,0.600030117,-0.21300358,0.665116068,0.858728236,0.333947575,0.505929655,0.699753956
AT1G60400,0,1,NA,0,1,NA,0,1,NA
AT1G60410,4.846211827,0.540673592,NA,0,1,NA,0,1,NA
AT1G60420,-0.466473275,0.111986826,0.300361288,-0.453359137,0.031005699,0.104406437,-0.329190526,0.076884155,0.188529881
AT1G08317,0,1,NA,0,1,NA,2.177334571,0.814397116,NA
AT1G60430,-0.960273689,0.18785943,0.418845695,0.634791013,0.070819606,0.194485632,0.803994358,0.015694251,0.053967556
AT1G60440,-0.342516518,0.384442234,0.648957132,0.502937607,0.03143858,0.105567751,0.377632329,0.089486102,0.21123184
AT1G60450,0.140937334,0.948105844,1,1.10941582,0.636805434,0.836336254,1.261260785,0.595366285,0.775625766
AT1G60460,1.707831332,0.058794175,0.197609033,-0.404678298,0.658523909,0.852723132,0.615368019,0.348678163,0.551046906
AT1G08323,0,1,NA,0,1,NA,0,1,NA
AT1G60470,2.602896896,0.144699523,0.355532123,1.872482467,0.207691236,0.416829268,2.177423698,0.285838199,0.480569531
AT1G60480,0,1,NA,0,1,NA,0,1,NA
AT1G60490,-0.855852843,0.00969278,0.05438738,0.105850455,0.581446693,0.799300218,-0.067502211,0.706864694,0.857743526
AT1G60500,0,1,NA,0,1,NA,0,1,NA
AT1G60505,1.095703646,0.09673284,0.274617322,1.719856728,5.47E-05,0.000519728,1.659196154,1.20E-06,1.29E-05
AT1G60510,4.846324838,0.227285296,NA,1.023552891,0.795433699,NA,2.177410688,0.587497707,NA
AT1G60520,0,1,NA,0,1,NA,0,1,NA
AT1G60525,2.377624272,1.09E-05,0.000158117,2.679628533,2.41E-10,6.59E-09,2.597669383,1.33E-15,5.42E-14
AT1G60530,0,1,NA,0,1,NA,0,1,NA
AT1G60545,0.84501535,0.199614301,0.434858766,1.660373986,0.000157226,0.001310614,1.125066844,0.009927914,0.037151866
AT1G60540,3.026929785,0.067490708,0.217570629,0.056604551,0.972144787,1,-0.016641572,0.991791503,1
AT1G60550,1.627908511,5.70E-16,2.97E-14,0.236189329,0.062247955,0.176865354,0.456037635,3.66E-05,0.000285713
AT1G60560,0.91125211,0.037555471,0.146419365,0.095527014,0.769836405,0.930458847,-0.047986329,0.876215104,0.966024482
AT1G60570,0,1,NA,0,1,NA,0,1,NA
AT1G08327,3.981511912,0.014362445,0.073080058,2.211874031,0.200173124,0.407875206,0.686313589,0.649592766,0.816026474
AT1G60580,3.642106321,0.011642488,0.062607642,0.772581963,0.615073046,0.821935447,-0.117407242,0.921630837,0.995760232
AT1G60590,-0.034522394,0.977192098,1,-0.195046593,0.223637156,0.437407858,-0.246142164,0.38255176,0.586657852
AT1G60600,0.799611768,0.028389191,0.120196644,0.183132899,0.319410405,0.551756669,0.409697181,0.014379987,0.050195303
AT1G60610,-0.18339828,0.744379981,0.941951231,0.942963314,0.002790567,0.015205966,0.296595767,0.520087311,0.711785879
AT1G60620,0.315830047,0.634192805,0.867735173,-0.607555256,0.263733463,0.486540437,-0.366564903,0.417484428,0.620521965
AT1G60625,0,1,NA,0,1,NA,0,1,NA
AT1G60630,0.34009066,0.747598741,0.94343646,-1.342728123,0.27685942,0.502140939,-0.089948528,0.900453682,0.983377693
AT1G60640,-1.056490907,0.305730574,0.566506824,0.135127248,0.677305895,0.867854161,-0.244930371,0.379926562,0.583689093
AT1G60650,0.169576078,0.763298283,0.952991183,-0.883851772,0.02794413,0.096324654,-1.023774408,0.005584963,0.022957584
AT1G60660,-1.129061768,0.181782765,0.4093937,0.135086836,0.730510833,0.903748417,0.377532495,0.26660099,0.458538728
AT1G60670,0.548122383,0.264124397,0.518114013,0.159830271,0.623399937,0.828257567,0.307881728,0.346927809,0.549238447
AT1G08333,0,1,NA,0,1,NA,0,1,NA
AT1G60680,-0.732063396,0.221087906,0.463771172,-0.124528187,0.636729992,0.836293406,0.220209143,0.382162468,0.586208127
AT1G60690,0.478158762,0.51412914,0.769581839,0.388537761,0.32142552,0.553946109,0.165542895,0.611273023,0.787752593
AT1G60700,-1.661084886,0.163643608,0.38437487,0.279268051,0.637737468,0.83721114,0.666954374,0.085152833,0.20370106
AT1G60710,-0.316480831,0.125098191,0.324243071,-0.221010786,0.076154166,0.205418095,-0.212629249,0.051473769,0.139617309
AT1G60720,0,1,NA,2.211858755,0.589368502,NA,0,1,NA
AT1G60730,0.775149049,0.075317893,0.233777224,0.487373754,0.190294736,0.395455757,0.717063176,0.041531083,0.117791201
AT1G60740,2.127946068,0.092022104,0.265931149,1.352636271,0.391670237,0.629248341,1.283426372,0.415706382,0.619071891
AT1G60750,1.384898859,0.273330438,0.528992827,3.145376032,0.029185935,0.099502353,0,1,1
AT1G60760,0,1,NA,0,1,NA,0,1,NA
AT1G60770,-0.181201158,0.633053636,0.866887148,-0.699094446,0.01351017,0.054584552,-0.661261503,0.000222244,0.001409125
AT1G60780,-0.34945375,0.081427291,0.246223227,0.133728507,0.265438184,0.488754717,0.049456867,0.639924422,0.809000446
AT1G60783,4.846155423,0.601318084,NA,2.211782188,0.811515503,NA,1.24839986,0.892698217,NA
AT1G60787,1.15338793,0.36285863,0.627172456,2.89162215,0.00158143,0.009510097,2.796255142,0.005364374,0.02217777
AT1G60790,0.534226008,0.171024725,0.39515106,-0.166247344,0.596956157,0.811588458,0.36758486,0.34327297,0.545109746
AT1G60800,-0.379042581,0.1606393,0.379921536,-0.026196265,0.843281235,0.975617599,0.750232428,1.17E-08,1.82E-07
AT1G60810,-1.391469618,0.000935183,0.008102393,-1.420318702,1.98E-07,3.40E-06,-0.385466532,0.031241557,0.093667129
AT1G08347,2.566739267,0.024183646,0.106999527,3.164766076,0.032704781,0.108977004,-0.817444734,0.464244264,0.66304704
