Gene.ID,FPKM.D.WT,FPKM.DTL12h.WT,FPKM.DTL24h.WT,FPKM.DTL48h.WT,FPKM.DTL24h.u5
AT5G08400,5.888869762,7.229037822,8.221744314,11.8807857,7.017631557
AT5G08410,9.930835008,31.91074292,43.44171224,45.14346927,49.21876612
AT5G08415,16.75166753,19.46322223,19.37003398,20.38762789,19.56257895
AT5G08420,29.78500379,38.59912978,39.4607453,42.62353506,36.41591433
AT5G08425,2.270493813,2.305054397,2.182347434,3.528055539,3.049597492
AT5G08430,9.901822586,8.244995836,9.235611492,8.744009411,10.12254483
AT5G08440,10.64112248,10.29807192,8.934810604,8.517872265,9.459504811
AT5G08445,7.807312059,2.751130568,3.542361052,4.601811572,3.282112487
AT5G08450,28.93601791,33.37344311,29.40497096,28.49986093,29.46129919
AT5G08455,0,0.093974262,0,0,0
AT5G08460,0,0.030083678,0.029345305,0.069890165,0.029418015
AT5G08470,8.437610872,11.75779854,10.94220307,11.49638937,10.49472423
AT5G08480,0.886416993,0.868148174,0.836513036,0.649335375,0.600468771
AT5G08490,0.677759347,0.866166183,0.730410267,0.782340674,0.573902189
AT5G08495,3.669796451,6.735832584,5.495334301,11.49463256,4.071832837
AT5G08500,20.65235549,18.95887302,14.92243272,13.23020827,13.67249208
AT5G08510,9.663261905,10.42948326,8.746985103,7.67660337,7.959457925
AT5G08515,4.511448381,7.891726224,5.409427756,13.87437571,3.128556294
AT5G08520,28.04873662,21.70535891,19.50591987,15.43306194,21.02311435
AT5G08525,1.814091442,2.515792893,1.11547514,3.188001993,1.789182395
AT5G08530,80.31511254,139.8500689,127.9519601,138.0072233,113.4780494
AT5G08535,10.05139688,9.139161926,8.543398361,8.015091068,7.819821749
AT5G08540,17.82585386,26.58914972,38.7628777,51.56861667,36.82801298
AT5G08550,8.69783018,9.095151516,7.368102586,7.744231499,7.610371347
AT5G08560,30.12103455,39.68825233,29.89876701,25.1441179,28.66996714
AT5G08565,1.875271968,1.625731061,2.285459644,4.26565909,2.127470816
AT5G08570,22.84311999,34.70814617,29.58248325,41.35103023,25.49160788
AT5G08575,0,0,0,0,0
AT5G08580,10.8588263,9.084178657,8.301024843,10.68313847,8.51559294
AT5G08585,0,0,0,0,0
AT5G08590,43.77686026,42.01699144,34.489766,28.77761086,31.4408697
AT5G08595,0,0,0.395659985,0,0
AT5G08600,0.850585544,1.658808469,1.465111199,2.556074556,1.262291774
AT5G08605,0.137695098,0.234355567,0.228603547,0.217781206,0.229169967
AT5G08610,10.04035329,47.2645406,48.52201778,53.57347943,38.90190766
AT5G08615,61.28626157,53.2680638,32.12113106,35.10055255,31.53776288
AT5G08620,13.98773912,21.04173312,23.42530346,24.15242301,19.55591151
AT5G08630,9.250860367,7.816107621,6.981869564,7.204276526,7.066957379
AT5G08635,0,0.039879834,0.038901024,0,0.077994821
AT5G08640,0.899571096,219.5106336,81.9526762,119.2953761,61.05750791
AT5G08645,0,0.058770281,0.057327825,0,0.114939736
AT5G08650,9.371356434,30.9677331,45.85381426,57.85837836,59.14562559
AT5G08655,0,0,0,0.34420054,0.181100169
AT5G08660,11.07278044,8.598992088,7.859417586,8.417338684,7.105961978
AT5G08665,0,0,0,0.283377955,0.149098533
AT5G08670,152.3255503,192.1220309,185.204534,213.781141,160.9696691
AT5G08680,88.73673067,112.9596904,80.71712611,91.73869186,69.64484314
AT5G08690,126.0480178,166.8297815,169.8123806,210.4341797,144.0447153
AT5G08695,0,0.007182293,0.014012022,0.013348678,0.01404674
AT5G08705,0.071802379,0,0,0,0
AT5G08710,4.593039631,17.09034377,15.82834131,15.3134926,15.18426777
AT5G08712,0,0.273133826,0.133215017,0.380725418,0.267090178
AT5G08715,0,0,0,0.173795839,0.274326611
AT5G08717,0,0,0,0,0
AT5G08720,3.409326191,13.00432717,20.60497771,21.39141206,26.9358239
AT5G08725,0.206542647,0,0.076201182,0,0
AT5G08730,0,0,0.034017552,0.010802375,0.022734559
AT5G08740,6.527071113,18.49314783,20.86241657,24.09998325,22.1197048
AT5G08745,0,0,0,0,0
AT5G08750,7.058255016,5.952923545,5.92223003,6.390906994,5.040221597
AT5G08755,0,0,0,0,0
AT5G08760,1.420802922,0.564244613,1.297361532,2.284621952,1.182341869
AT5G08765,0.028994722,0,0.096274977,0.06114481,0.032171174
AT5G08770,12.610428,7.654355209,8.043895136,6.411197699,7.385187008
AT5G08775,0,0,0,0,0
AT5G08780,5.106164746,4.910563265,4.870446788,5.526265655,4.824937666
AT5G08785,0,0,0,0,0
AT5G08790,27.29278837,21.923274,25.39113045,16.55649593,21.58376673
AT5G08795,0.313295026,0.142193265,0.277406552,0,0.069523473
AT5G08800,0.669198176,0.506208024,0.493783662,0.470407405,0
AT5G08805,2.367446379,4.118909633,1.39750093,2.163430283,2.276565806
AT5G08810,10.20956192,15.67297922,16.3328442,21.25879619,15.42137595
AT5G08815,0,0,0,0,0
AT5G08820,19.13003226,22.64720236,19.35678832,20.95248173,16.15430702
AT5G08825,0.179891983,1.15665812,1.460112978,11.82341193,2.727861868
AT5G08830,9.510389022,10.47598557,8.682191979,7.905186684,5.853818747
AT5G08835,21.95162396,10.09557585,10.3420808,7.860246939,10.13900639
AT5G08840,15.65327418,15.3178047,8.708437105,9.693419921,8.546224569
AT5G08845,0,0,0,0,0
AT5G08850,0.57689498,0,0.638513356,0.608285438,0.853460568
AT5G08855,0.415651041,0.628829844,0.651733094,1.716548761,0.461186766
AT5G08860,0.961491633,1.09096557,2.128377853,4.257998064,1.706921135
AT5G08865,1.203593843,1.911936783,2.264655283,5.457064322,1.335450888
AT5G08870,40.01805095,32.80227999,24.59042636,32.7403554,23.24058471
AT5G08875,44.58490389,40.18186793,37.97371815,41.81730803,33.16799038
AT5G08880,9.170089204,16.07189833,14.01604521,18.21581693,14.29302804
AT5G08885,7.890910856,6.836584608,6.194863582,7.578547089,5.904792537
AT5G08890,0.071191295,0,0,0,0
AT5G08895,0,0,0,0,0
AT5G08900,1.388901876,3.438394129,2.37575158,1.53104297,1.54105993
AT5G08905,0.071191295,0.080777876,0.078795265,0,0.078990499
AT5G08915,0.080432473,0,0,0,0
AT5G08920,15.99202321,12.14085881,11.42283093,8.536693931,10.36333451
AT5G08925,0.223066059,0,0,0,0.495007129
AT5G08930,0.176724871,0.133681697,0.717203382,0.062113654,0.326809284
AT5G08950,7.276597272,5.222034453,3.23529258,3.803479949,4.554433623
AT5G08955,61.58216552,55.95406556,38.62093641,45.36071407,42.78275902
AT5G08960,3.322673873,1.455127596,0.838744025,1.413680791,0.646786319
AT5G08965,0.104562215,0.039547502,0,0,0
AT5G08975,0.165370225,0.093819444,0.091516741,0.087184239,0
AT5G08980,17.64830513,8.200207556,11.71115785,9.51480372,10.89842665
AT5G08990,48.95301835,41.65875377,40.34808132,42.00719824,35.46427535
AT5G09000,0.738086224,0,0,1.037663394,0
AT5G09005,0.826170588,0,0.457207094,0.435562412,0
AT5G09015,0.078914879,0.179083028,0,0,0
AT5G09020,0.334599088,0.189828009,0.370337746,0.705611108,0
AT5G09030,7.984969615,4.584690273,3.694859057,5.163255518,4.259082329
AT5G09040,0,0,0,0,0
AT5G09045,0,0,0,0,0
AT5G09060,0.147270725,0.100261272,0,0,0.098042785
AT5G09065,0.020834314,0.070919555,0.046119271,0.043935934,0.023116771
AT5G09070,0,0,0,0,0
AT5G09095,0.060179692,0,0.066607508,0.126908473,0
AT5G09100,0.337297468,0,0.373324341,0,0.074849868
AT5G09105,4.10174558,1.099390015,0.822178394,1.362183606,1.218405579
AT5G09110,8.434685349,2.214660107,1.774535035,2.940046282,2.629725374
AT5G09115,0.224061889,0.423723235,0.826646755,1.732527273,0.580086479
AT5G09120,14.29216105,14.48116527,20.36857605,17.69067849,23.60123277
AT5G09125,0.108989931,0.711082119,0.693629329,1.120473665,0.272092681
AT5G09130,0.321729893,3.650538638,2.492657908,3.392361095,1.070928885
AT5G09135,0.274261548,0,0.075888882,0.07229622,0
AT5G09140,4.306720938,10.71306586,15.21684799,17.46562148,14.51939228
AT5G09150,1.722764184,4.430768178,4.194901246,5.409146936,2.378752795
AT5G09155,30.84293271,24.15800027,19.30307918,20.51790959,18.31388108
AT5G09160,33.95683816,34.20663136,29.15034736,34.14528999,25.27109416
AT5G09165,13.48074839,17.80618103,9.487991849,12.61061174,9.127972371
AT5G09175,2.923961038,1.740566765,1.490597472,2.126249571,1.765980018
AT5G09185,11.49000643,12.17764587,14.74363481,17.57371061,12.88886487
AT5G09190,3.158802581,2.522190332,1.165398503,0.986868682,0.778857371
AT5G09195,0.052775881,0.32935459,0.087619341,0.111295127,0.146394064
AT5G09200,0.040410518,0,0,0,0
AT5G09205,0.055953025,0,0,0,0
AT5G09210,0.174270358,0.044940343,0.043837328,0.033409617,0.026367567
AT5G09215,0.050240103,0,0.111212536,0.211895228,0
AT5G09220,168.0639449,36.3492055,30.39038464,28.40212935,29.60790305
AT5G09225,17.13747894,14.33444839,15.64439582,13.43374994,14.82641545
AT5G09230,5.806926127,15.74515983,13.430561,12.86864064,13.78599298
AT5G09235,0.038283649,0.086877807,0.08474548,0.161467073,0
AT5G09240,5.331326674,4.27724055,3.615958682,5.829619667,3.445663895
AT5G09250,9.241308151,8.738114708,7.906416966,7.630120113,7.778683458
AT5G09255,0,0,0.080159685,0,0
AT5G09260,13.11581792,12.07094483,10.45204093,8.866237133,10.00901828
AT5G09265,0.296105388,0.419973472,0.655465038,0.156108652,0.082136139
AT5G09270,3.585921639,5.045311857,4.560667492,5.073470358,3.631531257
AT5G09275,8.520670521,11.20980968,16.13569707,22.71446925,13.34885976
AT5G09280,0.692403035,0.403437603,0.10356201,0.295977814,0.269928384
AT5G09285,141.9472286,94.76798304,98.35315918,76.87090241,96.09801863
AT5G09290,8.590015024,3.487232451,2.134921674,1.274547351,2.083139148
AT5G09295,1.510343107,1.713725083,1.285894953,4.042563638,1.332050434
AT5G09300,3.691708528,2.188048704,3.047691215,2.894251169,2.419135308
AT5G09305,0.215407138,0.162942497,0.317886478,0.151418693,0.159337059
AT5G09310,13.74904161,15.04942775,15.4029363,12.30758113,16.03570392
AT5G09315,2.239878194,3.592612736,4.223686694,4.198677666,4.44892771
AT5G09320,0.176104783,0.093248847,0.077965841,0.061895711,0.104212027
AT5G09325,0.804324731,0.365053864,0.26707049,0.848090274,0.089244074
AT5G09330,39.99432315,33.24055958,29.42770854,29.44467404,27.27485364
AT5G09335,0,0.118642506,0.057865273,0.110251736,0.058008648
